"ChallengeX","ChallengeY","Tester Name","Device Name"
"628.0","607.0","Jake ","nexus-03"
"524.0","720.0","Jake ","nexus-03"
"317.0","125.0","Jake ","nexus-03"
"436.0","134.0","Jake ","nexus-03"
"X","Y","PRESSURE"
"625.875","581.36365","0.124800004"
"621.0227","582.1479","0.3264"
"613.54645","587.29126","0.39360002"
"605.71765","595.7589","0.42720002"
"595.72675","608.97876","0.4512"
"585.48804","623.56354","0.4656"
"572.99695","642.6512","0.48000002"
"561.7876","663.1647","0.49920002"
"552.8563","676.0575","0.504"
"544.2312","687.39575","0.49920002"
"537.2188","696.3939","0.5088"
"531.28705","703.5509","0.51360005"
"527.60516","708.8705","0.52320004"
"522.3674","714.7258","0.52320004"
"520.1866","715.8371","0.53760004"
"513.7614","700.0057","0.5424"
"502.69537","668.97296","0.5424"
"486.19662","620.3289","0.5472"
"468.7698","575.7179","0.53760004"
"455.21863","543.44055","0.528"
"447.4375","521.9697","0.528"
"437.76575","495.74945","0.528"
"414.29205","429.26367","0.55200005"
"399.79572","387.92084","0.5568"
"389.58667","365.92334","0.5856"
"380.79562","341.63022","0.5856"
"373.50967","316.9069","0.5856"
"367.10873","292.44257","0.5856"
"361.47968","267.33356","0.5712"
"355.83478","243.13928","0.57600003"
"350.57727","224.59558","0.57600003"
"346.06482","209.28058","0.58080006"
"342.31577","193.19763","0.58080006"
"338.28125","178.01514","0.59040004"
"333.87973","164.04407","0.59040004"
"330.74908","155.54279","0.6096"
"328.48535","148.9574","0.6096"
"326.98892","143.12814","0.6096"
"326.4885","138.85004","0.6096"
"327.39758","134.58746","0.6144"
"330.76755","131.67053","0.624"
"336.01712","130.87463","0.6144"
"349.2998","131.73566","0.6096"
"379.57614","137.99423","0.6096"
"407.85825","147.58743","0.5712"
"432.31207","157.93317","0.4656"
"440.5625","161.66669","0.35520002"
"446.6434","163.71945","0.26880002"
"455.875","166.81818","0.20160002"
