"ChallengeX","ChallengeY","Tester Name","Device Name"
"508.0","672.0","Ryan","nexus-03"
"340.0","367.0","Ryan","nexus-03"
"439.0","650.0","Ryan","nexus-03"
"106.0","619.0","Ryan","nexus-03"
"X","Y","PRESSURE"
"523.375","675.9091","0.115200005"
"519.7158","676.6188","0.432"
"515.02454","671.0357","0.48960003"
"513.5237","668.85266","0.48960003"
"508.1062","661.57874","0.4848"
"503.0229","654.4614","0.4848"
"495.39948","642.3568","0.48000002"
"486.41547","627.69165","0.47040004"
"475.35406","607.85846","0.4656"
"466.28183","593.29535","0.45600003"
"458.3669","577.10443","0.44640002"
"444.776","555.6359","0.44640002"
"430.87387","531.9445","0.44160002"
"416.82718","508.80927","0.43680003"
"400.47226","485.02026","0.44640002"
"386.76324","462.1931","0.43680003"
"375.34683","442.1471","0.43680003"
"366.8125","431.96973","0.44640002"
"364.46732","426.5506","0.4512"
"353.85434","406.5357","0.45600003"
"348.4246","396.3933","0.4512"
"345.4453","392.17426","0.45600003"
"343.26038","389.208","0.4656"
"342.02045","387.90363","0.49920002"
"341.06226","395.78638","0.49440002"
"342.9652","408.7807","0.44640002"
"347.822","435.66602","0.4128"
"355.9573","464.33264","0.40320003"
"361.9015","492.2367","0.37440002"
"366.60196","518.2711","0.35520002"
"371.1291","544.054","0.34080002"
"375.7446","567.39813","0.3264"
"381.04593","586.73706","0.32160002"
"384.97577","599.78253","0.3264"
"393.46582","614.8731","0.3264"
"401.1601","630.6991","0.3264"
"405.07367","639.3485","0.31680003"
"408.46048","645.77185","0.31680003"
"410.25","650.1516","0.3264"
"411.2977","654.31335","0.36960003"
"410.875","656.303","0.44160002"
"405.92743","658.65063","0.53760004"
"397.28217","657.36755","0.53760004"
"389.8379","656.4653","0.53760004"
"376.97488","655.00085","0.53760004"
"361.2997","652.36804","0.528"
"343.31058","649.5166","0.53760004"
"317.77295","645.6103","0.5328"
"302.32977","645.2776","0.53760004"
"282.37305","644.1717","0.5328"
"252.11508","641.0716","0.55200005"
"228.7361","639.0828","0.5472"
"206.57657","636.55444","0.5328"
"180.98631","632.5479","0.5184"
"163.66267","630.14813","0.5088"
"152.28545","628.5914","0.504"
"142.7161","626.88983","0.504"
"135.62537","625.8688","0.49920002"
"129.98647","624.8277","0.47520003"
"126.1875","625.9091","0.39360002"
