"ChallengeX","ChallengeY","Tester Name","Device Name"
"389.0","479.0","Sean","nexus-03"
"552.0","629.0","Sean","nexus-03"
"331.0","636.0","Sean","nexus-03"
"633.0","109.0","Sean","nexus-03"
"X","Y","PRESSURE"
"407.75","470.4546","0.0912"
"414.76794","473.8105","0.4848"
"423.49518","478.05365","0.48960003"
"433.87415","485.06","0.48960003"
"446.17877","495.40552","0.49440002"
"458.2021","506.54608","0.5184"
"468.36465","515.8991","0.5328"
"479.77255","527.46045","0.53760004"
"489.40842","539.1809","0.5424"
"497.5688","548.92993","0.5472"
"506.9422","559.4832","0.5472"
"513.97034","567.38586","0.5472"
"520.34076","575.18384","0.5568"
"524.88794","581.37933","0.55200005"
"528.6135","587.0017","0.5616"
"530.5287","590.3215","0.5616"
"532.16327","594.1775","0.56640005"
"533.0237","599.3196","0.56640005"
"532.01715","601.99133","0.57600003"
"528.08923","606.05975","0.5712"
"520.0252","609.35144","0.57600003"
"516.64667","610.0031","0.57600003"
"487.71796","618.9994","0.56640005"
"439.16226","629.4007","0.5568"
"412.0161","634.66266","0.58080006"
"385.08646","639.0669","0.59040004"
"360.77667","641.48816","0.59040004"
"344.78833","642.5212","0.6096"
"334.1768","642.5758","0.624"
"327.125","641.6667","0.64320004"
"324.7698","639.91876","0.6672"
"324.57693","631.66675","0.6528"
"333.20248","606.08936","0.648"
"352.71548","568.9098","0.648"
"376.3759","524.4805","0.648"
"403.3956","481.0893","0.65760005"
"435.15103","428.2746","0.6528"
"466.68378","377.05","0.6672"
"500.73126","320.7879","0.6768"
"536.07007","261.6706","0.69600004"
"572.7479","195.98868","0.67200005"
"611.54895","134.44058","0.6624"
"648.85345","83.68024","0.6768"
"679.7339","43.65593","0.67200005"
"697.9118","26.324524","0.6624"
"719.0194","14.60051","0.5472"
"747.611","7.5193176","0.31680003"
"794.3125","0.7575836","0.24000001"
