"ChallengeX","ChallengeY","Tester Name","Device Name"
"253.0","779.0","Ryan","nexus-06"
"553.0","161.0","Ryan","nexus-06"
"643.0","787.0","Ryan","nexus-06"
"218.0","409.0","Ryan","nexus-06"
"635.0","517.0","Ryan","nexus-06"
"634.0","686.0","Ryan","nexus-06"
"209.0","893.0","Ryan","nexus-06"
"X","Y","PRESSURE"
"239.625","770.4546","0.13440001"
"248.9255","753.6113","0.49920002"
"260.27893","732.2167","0.49920002"
"272.6384","709.5834","0.49920002"
"286.10025","683.95715","0.49920002"
"302.947","649.46643","0.49920002"
"323.37955","611.3277","0.49440002"
"330.5625","598.0304","0.49440002"
"342.31686","571.3592","0.4848"
"368.75827","513.8474","0.48960003"
"394.5935","461.265","0.48960003"
"416.15887","413.4157","0.49440002"
"434.6873","374.4369","0.4848"
"446.85666","347.8649","0.47520003"
"470.2101","298.63147","0.47520003"
"483.40338","273.42984","0.47520003"
"497.3736","246.33603","0.45600003"
"516.2164","209.79251","0.44640002"
"526.38385","190.02438","0.44160002"
"536.6779","173.52908","0.43680003"
"545.3292","161.61118","0.43680003"
"551.84265","153.50125","0.4512"
"557.22986","147.14563","0.47520003"
"561.0588","144.87271","0.504"
"565.4882","146.49115","0.5328"
"568.04224","151.0213","0.49440002"
"571.50604","162.59921","0.44640002"
"578.9851","211.96005","0.40800002"
"582.05316","247.76544","0.3984"
"585.75854","288.4007","0.384"
"590.4683","330.8365","0.384"
"596.3409","362.0445","0.36960003"
"604.6991","416.90533","0.3648"
"606.8125","439.54553","0.35520002"
"609.8446","462.53235","0.35520002"
"617.9329","532.8713","0.35040003"
"626.9401","585.6249","0.33600003"
"635.3336","621.56757","0.3312"
"639.8065","651.08075","0.3312"
"642.3898","680.33026","0.3312"
"644.61926","706.15125","0.3264"
"646.3843","724.25977","0.3264"
"647.5063","737.68567","0.3264"
"647.75","747.6714","0.34080002"
"647.75","753.4516","0.36"
"646.8544","758.9583","0.40800002"
"643.3237","760.8074","0.52320004"
"635.68085","756.72406","0.52320004"
"616.39435","743.1106","0.52320004"
"594.0353","723.69916","0.52320004"
"568.9838","703.6227","0.5184"
"532.65857","674.9896","0.51360005"
"509.4723","658.6467","0.5184"
"474.0362","632.7536","0.5184"
"436.15094","603.10144","0.5328"
"409.63968","585.56006","0.52320004"
"372.89493","556.78564","0.5184"
"344.73203","534.69434","0.5184"
"322.4375","518.63635","0.52320004"
"261.74368","477.97052","0.528"
"221.10223","449.88837","0.5184"
"199.6513","436.89417","0.52320004"
"191.21889","431.46222","0.528"
"182.95303","426.67096","0.52320004"
"175.69203","419.97412","0.52320004"
"172.3696","416.75238","0.52320004"
"170.17613","414.62537","0.528"
"177.89984","413.93854","0.5472"
"195.56058","415.34778","0.5328"
"224.94006","418.32196","0.5328"
"256.08167","423.5423","0.528"
"298.75702","429.45233","0.528"
"337.7929","434.56354","0.5184"
"377.6602","440.61865","0.51360005"
"427.80994","449.94525","0.51360005"
"462.01736","454.53705","0.5088"
"493.26135","462.06158","0.5088"
"540.2216","473.24194","0.49920002"
"567.4606","483.24506","0.48960003"
"590.59625","491.2085","0.49440002"
"604.97675","497.60498","0.49920002"
"615.42554","503.04364","0.5088"
"622.125","507.42432","0.5184"
"626.13403","512.64954","0.528"
"629.4647","518.62854","0.51360005"
"632.11584","524.9689","0.49920002"
"634.35254","533.03406","0.4656"
"636.5857","543.336","0.44640002"
"637.9745","554.44965","0.43680003"
"640.5014","566.3409","0.40320003"
"643.9572","589.57874","0.38880002"
"648.5309","616.21014","0.36960003"
"651.62494","638.45416","0.35040003"
"652.9954","651.49225","0.35520002"
"654.1149","666.67194","0.35040003"
"654.0","678.17706","0.35040003"
"652.9084","686.34937","0.37440002"
"651.4298","694.3631","0.39360002"
"649.1543","701.5209","0.4128"
"644.0982","706.72296","0.432"
"637.2822","712.14575","0.44640002"
"625.14716","718.4607","0.47040004"
"591.65594","733.533","0.48000002"
"549.031","753.37195","0.49920002"
"521.6304","765.8459","0.51360005"
"469.9424","789.9981","0.51360005"
"430.59964","809.6995","0.5184"
"390.8392","829.95953","0.51360005"
"362.85336","841.22577","0.51360005"
"338.26453","851.3578","0.5184"
"302.5285","869.86096","0.52320004"
"286.4579","879.6467","0.5328"
"278.7196","885.272","0.528"
"272.1018","889.55664","0.5088"
"266.5201","891.83154","0.45600003"
