"ChallengeX","ChallengeY","Tester Name","Device Name"
"105.0","407.0","Ryan","nexus-06"
"587.0","254.0","Ryan","nexus-06"
"X","Y","PRESSURE"
"88.375","428.03033","0.1536"
"102.3504","423.70593","0.48000002"
"115.62392","417.347","0.48000002"
"136.75557","408.05243","0.47040004"
"158.19211","398.79077","0.47040004"
"174.936","391.57416","0.4656"
"196.80125","384.2827","0.4656"
"220.77515","374.82043","0.46080002"
"242.1087","366.79297","0.4656"
"258.28348","360.09668","0.46080002"
"274.70792","354.67017","0.45600003"
"299.52332","346.239","0.45600003"
"318.375","339.8485","0.45600003"
"344.56592","328.78052","0.44640002"
"368.48444","320.3015","0.44160002"
"390.08005","313.79208","0.4512"
"401.37238","310.30988","0.46080002"
"419.24005","304.18427","0.45600003"
"436.3866","297.57108","0.45600003"
"450.46466","291.5973","0.4512"
"469.64426","285.39783","0.46080002"
"480.3105","281.95013","0.46080002"
"491.35968","278.70102","0.4656"
"507.58514","274.4972","0.46080002"
"528.6362","268.4998","0.4656"
"545.18933","265.9238","0.46080002"
"555.4355","264.35397","0.47040004"
"564.7457","260.94098","0.47520003"
"571.7397","258.21716","0.47520003"
"579.31824","255.80624","0.47520003"
"585.1996","254.46436","0.47040004"
"589.7211","251.9231","0.42240003"
