"ChallengeX","ChallengeY","Tester Name","Device Name"
"563.0","463.0","Jake","nexus-08"
"244.0","183.0","Jake","nexus-08"
"166.0","234.0","Jake","nexus-08"
"257.0","870.0","Jake","nexus-08"
"X","Y","PRESSURE"
"587.75","434.09094","0.17760001"
"581.48145","434.09094","0.40320003"
"571.82367","431.97333","0.5712"
"547.6781","422.19324","0.59040004"
"523.0215","410.97925","0.6384"
"495.25","394.09094","0.6912"
"441.52664","354.42212","0.6912"
"400.06964","321.43564","0.74880004"
"383.69012","307.14145","0.7728"
"366.88828","289.0129","0.83040005"
"351.26566","271.0877","0.81600004"
"336.86508","252.1177","0.80160004"
"327.21698","238.12717","0.80160004"
"320.54825","229.00821","0.80640006"
"309.1814","216.99951","0.7968"
"298.07452","203.19666","0.80160004"
"290.50104","193.34082","0.80160004"
"287.75","190.15155","0.80640006"
"281.18466","184.63419","0.82080007"
"275.3056","180.78455","0.7968"
"268.64716","177.55621","0.80160004"
"263.24695","176.36911","0.82080007"
"257.74023","175.90909","0.84480006"
"251.24628","176.9602","0.85920006"
"244.1579","178.59811","0.84000003"
"235.45773","184.04077","0.84480006"
"225.15536","192.47653","0.85920006"
"216.1321","201.11435","0.8496"
"208.0373","208.96387","0.8496"
"198.64297","217.46744","0.8352"
"189.31157","226.47293","0.84000003"
"182.80899","233.70209","0.8496"
"180.875","236.5152","0.87360007"
"177.90703","241.05911","0.864"
"174.02193","255.76022","0.9168"
"174.17154","268.64798","0.85440004"
"179.80072","294.1421","0.8256"
"186.34947","322.57733","0.80640006"
"192.61783","360.2102","0.80640006"
"194.25175","390.6236","0.80640006"
"196.12746","451.49927","0.7968"
"195.96968","504.13788","0.80160004"
"196.80206","562.31274","0.76320004"
"199.06299","616.7079","0.76320004"
"204.74223","663.1506","0.744"
"211.64815","691.02924","0.72"
"234.8861","751.10223","0.7152"
"263.40472","801.45685","0.6528"
"285.16403","842.76434","0.4656"
"293.09833","857.9314","0.35520002"
"294.625","860.7576","0.20160002"
