"ChallengeX","ChallengeY","Tester Name","Device Name"
"596.0","147.0","Jake","nexus-09"
"248.0","756.0","Jake","nexus-09"
"X","Y","PRESSURE"
"650.25","180.36365","0.0912"
"648.12933","175.5653","0.2592"
"645.15625","172.21973","0.32160002"
"638.5357","175.13422","0.33600003"
"629.9545","181.8623","0.35040003"
"616.0696","198.48648","0.36"
"595.597","225.19754","0.35040003"
"568.2233","266.94794","0.35040003"
"551.3753","294.24594","0.36"
"523.96564","335.69366","0.35520002"
"495.3396","384.35913","0.36"
"465.66437","432.8593","0.36960003"
"436.5254","483.04474","0.3648"
"407.28214","532.23096","0.35040003"
"384.03574","575.9807","0.35040003"
"367.34027","609.03705","0.35040003"
"343.22772","651.4685","0.35040003"
"316.3875","691.01544","0.3456"
"299.92847","717.0841","0.34080002"
"281.6458","742.13605","0.34080002"
"271.8125","756.1213","0.34080002"
"262.99478","769.00104","0.34080002"
"245.21292","790.42377","0.34080002"
"234.62518","805.81793","0.34080002"
"229.9375","810.36365","0.35520002"
"227.32886","812.8933","0.3312"
