"ChallengeX","ChallengeY","Tester Name","Device Name"
"508.0","672.0","Ryan Scheel","nexus-03"
"340.0","367.0","Ryan Scheel","nexus-03"
"439.0","650.0","Ryan Scheel","nexus-03"
"106.0","619.0","Ryan Scheel","nexus-03"
"X","Y","PRESSURE"
"91.21429","628.5714","0.10560001"
"100.21146","628.5714","0.3984"
"103.72221","628.5714","0.40800002"
"108.900314","628.5714","0.4128"
"111.79198","628.5714","0.4176"
"118.95128","628.5714","0.42720002"
"151.10648","628.5714","0.42720002"
"173.99606","628.5714","0.432"
"189.25984","628.5714","0.44160002"
"208.05756","630.55853","0.42240003"
"233.06747","632.8475","0.42720002"
"240.94357","633.8961","0.42240003"
"266.1134","636.21234","0.40800002"
"290.50757","638.0","0.4176"
"303.45804","639.7143","0.432"
"321.4192","641.41034","0.42240003"
"339.17337","643.7201","0.4176"
"351.6251","644.8572","0.43680003"
"356.74734","645.3708","0.44160002"
"366.33884","645.9585","0.44640002"
"375.8737","646.5714","0.44640002"
"385.4678","648.2857","0.43680003"
"394.72678","648.2857","0.43680003"
"401.91354","649.13806","0.43680003"
"406.39285","649.1429","0.43680003"
"408.95496","649.1429","0.43680003"
"413.1815","649.1429","0.44640002"
"415.59207","649.1429","0.4512"
"417.99066","649.1429","0.4512"
"419.7857","648.56195","0.4656"
"419.7857","646.26355","0.4848"
"419.7857","644.4286","0.49920002"
"418.6383","642.6541","0.52320004"
"416.2368","638.0432","0.5424"
"413.84674","632.0387","0.5472"
"409.21445","622.846","0.5424"
"404.42657","611.85236","0.59040004"
"400.33304","600.34143","0.624"
"397.4643","593.0","0.624"
"394.39624","580.5486","0.6096"
"387.95175","557.1808","0.63360006"
"384.93878","543.5674","0.6384"
"381.9285","528.6283","0.624"
"377.2492","510.9345","0.62880003"
"372.44757","498.24554","0.6384"
"369.4448","491.03894","0.6384"
"365.4267","480.58893","0.63360006"
"358.88837","460.3849","0.61920005"
"354.21094","446.76343","0.6528"
"351.52335","436.02753","0.67200005"
"346.99673","424.49042","0.65760005"
"344.60495","415.3059","0.6384"
"343.20932","410.60284","0.63360006"
"341.11108","404.55994","0.6384"
"338.73444","400.09583","0.6384"
"337.64285","397.62836","0.6384"
"337.64285","395.85712","0.6384"
"340.78024","399.2976","0.648"
"342.0149","401.25146","0.6384"
"348.42444","409.0619","0.624"
"359.05115","423.34412","0.6624"
"372.87738","444.44135","0.63360006"
"385.4223","468.30798","0.624"
"395.9601","488.54065","0.6096"
"411.2174","516.3484","0.57600003"
"417.94598","528.1906","0.5856"
"429.58224","553.9403","0.57600003"
"445.45126","589.8628","0.55200005"
"455.6382","616.07916","0.5088"
"464.75894","632.9836","0.49920002"
"473.57925","651.13995","0.36960003"
