"ChallengeX","ChallengeY","Tester Name","Device Name"
"287.0","592.0","Nick ","Personal Nexus 7"
"274.0","724.0","Nick ","Personal Nexus 7"
"356.0","105.0","Nick ","Personal Nexus 7"
"454.0","391.0","Nick ","Personal Nexus 7"
"X","Y","PRESSURE"
"301.0","590.0","0.5"
"301.0","590.0","0.77500004"
"312.62314","624.5252","0.77500004"
"321.43054","654.2916","0.77500004"
"330.10464","686.9263","0.77500004"
"334.4894","714.68115","0.77500004"
"337.6591","735.59094","0.77500004"
"339.0","751.09485","0.77500004"
"340.0","761.13916","0.77500004"
"340.0","767.228","0.77500004"
"341.5","769.5","0.77500004"
"341.70328","763.48364","0.77500004"
"343.72958","746.9746","0.77500004"
"344.0","717.34216","0.77500004"
"344.0","676.23364","0.77500004"
"344.8184","623.08545","0.77500004"
"348.17648","568.96075","0.77500004"
"353.29562","514.6351","0.77500004"
"358.5874","462.36395","0.77500004"
"365.3014","411.3662","0.77500004"
"370.5568","361.6933","0.77500004"
"376.35168","310.8349","0.77500004"
"383.43225","258.542","0.77500004"
"390.51727","219.05719","0.77500004"
"397.61066","186.94666","0.77500004"
"403.69498","160.2201","0.77500004"
"406.63092","140.84534","0.77500004"
"408.84433","125.08969","0.77500004"
"410.8569","114.71542","0.77500004"
"411.0","108.203735","1.0375"
"412.92615","106.0","1.0375"
"416.581","110.30167","1.0375"
"425.4318","126.863556","1.0375"
"436.5927","155.7782","1.0375"
"449.62967","190.10065","1.0375"
"461.8451","226.53528","1.0375"
"472.44257","259.10474","1.0375"
"482.583","288.8324","1.0375"
"490.7921","314.37634","1.0375"
"497.9214","331.7904","1.0375"
"502.00824","345.02466","1.0375"
"505.87878","354.69696","1.0375"
"507.96222","362.84875","1.0375"
"510.9912","371.95612","1.0375"
"513.02094","379.0838","1.0375"
"517.1005","387.2011","1.0375"
"520.87","395.78333","1.0375"
"526.9673","408.9428","0.7375"
"533.0493","424.0987","0.4375"
