"ChallengeX","ChallengeY","Tester Name","Device Name"
"287.0","592.0","Nick ","Personal Nexus 7"
"274.0","724.0","Nick ","Personal Nexus 7"
"356.0","105.0","Nick ","Personal Nexus 7"
"454.0","391.0","Nick ","Personal Nexus 7"
"X","Y","PRESSURE"
"262.0","636.0","0.3"
"262.0","636.0","0.6"
"255.0","681.38855","0.6"
"255.0","705.24585","0.6"
"259.56744","729.12085","0.6"
"263.41336","746.4802","0.6"
"265.52402","756.09607","0.6"
"267.7119","760.7119","0.6"
"271.7685","758.3473","0.6"
"277.20807","743.37585","0.6"
"285.52097","713.22864","0.6"
"296.6588","665.9177","0.6"
"307.29187","588.58185","0.6"
"315.5676","506.89172","0.6"
"321.47595","428.93933","0.6"
"328.59348","355.65875","0.6"
"339.333","291.13507","0.6"
"348.99078","250.78925","0.8625"
"358.24002","221.45319","0.8625"
"364.63983","204.72034","0.8625"
"369.99448","198.3352","0.8625"
"379.2397","208.17523","0.8625"
"401.24567","262.5937","0.8625"
"430.5767","356.72113","0.8625"
"451.3589","424.86298","0.8625"
"470.00214","482.22772","0.8625"
"488.9499","528.99347","0.5625"
"504.0","564.0","0.3"
