"ChallengeX","ChallengeY","Tester Name","Device Name"
"162.0","352.0","Jake ","nexus-03"
"253.0","458.0","Jake ","nexus-03"
"617.0","205.0","Jake ","nexus-03"
"461.0","346.0","Jake ","nexus-03"
"X","Y","PRESSURE"
"189.0","357.12122","0.10560001"
"187.71208","360.24347","0.47040004"
"193.07523","365.9796","0.5088"
"201.99797","375.60944","0.53760004"
"219.76724","392.41064","0.5424"
"235.3805","409.1554","0.53760004"
"243.32806","417.76184","0.528"
"250.35254","427.55682","0.52320004"
"255.66306","434.44006","0.52320004"
"258.59546","437.86267","0.52320004"
"260.36664","439.92365","0.5328"
"261.86365","441.80444","0.5472"
"265.46402","442.13245","0.56640005"
"270.92618","438.50226","0.57600003"
"280.4549","432.93573","0.58080006"
"296.03625","424.05774","0.6"
"324.6859","410.37207","0.6"
"352.43613","395.48553","0.6"
"361.8125","390.75757","0.5952"
"393.44952","371.14526","0.6"
"439.06818","337.2648","0.58080006"
"468.2642","315.23212","0.57600003"
"483.23907","304.3413","0.58080006"
"502.65332","290.702","0.57600003"
"522.39246","277.61554","0.58080006"
"538.2518","267.56848","0.5856"
"548.01544","261.09613","0.5856"
"559.8378","251.8284","0.56640005"
"568.85406","243.32336","0.5472"
"577.1018","235.32553","0.5424"
"585.62555","228.75711","0.53760004"
"593.1604","222.54718","0.52320004"
"597.7493","218.76678","0.5184"
"600.9112","216.13876","0.51360005"
"603.5179","215.09866","0.51360005"
"598.8057","222.55942","0.5088"
"586.09186","236.34888","0.51360005"
"565.8499","257.3489","0.528"
"541.332","280.22443","0.53760004"
"506.05402","312.2067","0.5472"
"488.26993","330.41132","0.5616"
"470.14197","350.45905","0.5472"
"453.1805","367.61285","0.45600003"
"441.84488","378.15186","0.3456"
"438.375","381.36365","0.20160002"
