"ChallengeX","ChallengeY","Tester Name","Device Name"
"276.0","238.0","Sean","nexus-03"
"449.0","803.0","Sean","nexus-03"
"635.0","599.0","Sean","nexus-03"
"426.0","130.0","Sean","nexus-03"
"X","Y","PRESSURE"
"294.625","252.87881","0.1392"
"295.5678","265.668","0.4848"
"297.51544","281.9683","0.5616"
"303.2357","304.9872","0.6144"
"308.18637","330.7887","0.63360006"
"313.8259","355.98102","0.6672"
"319.818","382.11224","0.6768"
"326.60254","408.4281","0.68160003"
"332.729","435.92523","0.68160003"
"339.98297","462.70905","0.6912"
"346.7575","490.84735","0.7056"
"354.05597","516.73224","0.6912"
"360.7555","541.92957","0.68640006"
"367.37662","567.1474","0.67200005"
"373.60184","590.6512","0.6624"
"379.90497","611.0496","0.64320004"
"388.01312","633.9404","0.62880003"
"396.0393","655.1933","0.62880003"
"402.76758","668.0644","0.6"
"407.68463","678.2066","0.5952"
"414.64987","691.192","0.58080006"
"421.10028","703.6188","0.56640005"
"426.49426","715.2864","0.5424"
"431.99423","730.4632","0.5568"
"436.32874","742.8303","0.53760004"
"441.05774","756.44073","0.5424"
"444.3961","763.95","0.5424"
"447.80276","768.50256","0.5424"
"451.20844","771.5321","0.5424"
"456.26923","772.27277","0.5616"
"464.04288","769.60565","0.5616"
"477.26608","760.5125","0.5616"
"496.93872","742.3036","0.5712"
"517.076","722.28925","0.57600003"
"539.13074","700.26166","0.5856"
"570.2739","670.4314","0.5952"
"591.28986","650.6871","0.6"
"602.9993","638.7858","0.6096"
"618.3353","622.41864","0.61920005"
"626.4162","613.28345","0.63360006"
"630.9459","607.79285","0.6384"
"633.0625","604.09094","0.6384"
"634.5644","596.868","0.6384"
"633.7416","587.81177","0.64320004"
"629.895","577.3337","0.6624"
"622.59863","562.088","0.6528"
"612.7481","536.0556","0.6384"
"602.5197","511.43274","0.62880003"
"592.36456","486.58807","0.648"
"582.4375","461.66663","0.6384"
"564.6933","424.87756","0.6672"
"543.57135","379.8642","0.67200005"
"535.42706","358.4355","0.68160003"
"525.27844","331.21378","0.7056"
"514.87067","295.63443","0.7296"
"507.0113","266.10165","0.72480005"
"495.1681","222.89056","0.72"
"484.36798","193.34317","0.73440003"
"474.8878","165.8721","0.73920006"
"465.7217","138.60294","0.744"
"459.0157","114.39108","0.72480005"
"454.86572","97.930725","0.7056"
"451.43008","85.334885","0.64320004"
"450.28192","74.94466","0.5328"
"449.625","54.298676","0.312"
"449.625","52.8788","0.23520002"
