"ChallengeX","ChallengeY","Tester Name","Device Name"
"253.0","779.0","Ryan","nexus-06"
"553.0","161.0","Ryan","nexus-06"
"643.0","787.0","Ryan","nexus-06"
"218.0","409.0","Ryan","nexus-06"
"635.0","517.0","Ryan","nexus-06"
"634.0","686.0","Ryan","nexus-06"
"209.0","893.0","Ryan","nexus-06"
"X","Y","PRESSURE"
"253.375","783.7879","0.13440001"
"260.5509","768.10095","0.432"
"271.61603","747.403","0.4656"
"292.02313","706.99164","0.4848"
"308.598","674.3777","0.48960003"
"325.69083","639.18","0.49440002"
"346.97763","593.7945","0.48960003"
"367.44943","553.46173","0.4848"
"388.1693","510.84296","0.4848"
"401.0465","480.17645","0.4848"
"420.7387","433.98962","0.49440002"
"437.44058","395.46313","0.48960003"
"448.24475","367.6314","0.48000002"
"467.79288","323.41687","0.47520003"
"485.1465","283.75757","0.47520003"
"495.66968","259.62814","0.4656"
"506.98425","233.95322","0.44640002"
"517.3631","210.88425","0.44160002"
"524.25226","194.01202","0.44160002"
"529.9213","183.81924","0.44640002"
"533.9857","175.9368","0.44160002"
"536.4498","171.60031","0.44640002"
"538.20544","168.6211","0.45600003"
"540.3802","169.19193","0.49920002"
"545.39136","172.98157","0.47040004"
"551.3708","181.84106","0.44640002"
"561.40594","203.66281","0.42240003"
"571.7306","238.5451","0.39360002"
"578.3701","271.7886","0.384"
"582.9584","304.14188","0.36960003"
"589.6901","353.2577","0.36960003"
"596.6091","392.22272","0.36"
"600.5962","423.1944","0.35520002"
"603.99493","458.27917","0.35040003"
"609.41315","513.74976","0.34080002"
"612.6619","546.04974","0.34080002"
"616.15857","577.4465","0.33600003"
"621.01685","615.8787","0.3264"
"624.13635","645.5245","0.3264"
"632.3271","685.8037","0.3312"
"637.33734","707.1181","0.3312"
"641.3046","724.24225","0.3312"
"644.35535","741.0515","0.3264"
"647.4357","758.31946","0.31680003"
"648.605","766.561","0.31680003"
"649.7096","774.0589","0.33600003"
"649.625","780.0679","0.35520002"
"648.49054","783.45184","0.37440002"
"647.82214","785.3963","0.42240003"
"644.0949","785.1713","0.5088"
"628.3632","778.19275","0.504"
"592.67413","757.7175","0.51360005"
"569.1517","743.49414","0.5088"
"528.348","718.1881","0.5088"
"502.31567","700.0805","0.528"
"464.56107","672.74774","0.5328"
"438.6879","654.2348","0.53760004"
"411.58145","631.73303","0.53760004"
"373.53577","597.8229","0.528"
"348.25955","575.9726","0.52320004"
"313.92136","545.52985","0.5424"
"289.4322","524.01324","0.53760004"
"267.43256","504.6773","0.5472"
"245.02246","484.0025","0.5472"
"226.07443","463.58978","0.53760004"
"208.73195","446.76392","0.5328"
"197.63676","436.48486","0.52320004"
"191.74892","431.25372","0.52320004"
"187.6435","427.85522","0.528"
"185.18776","425.8141","0.53760004"
"184.30354","424.00433","0.5616"
"190.77547","423.7879","0.5712"
"200.875","424.69702","0.55200005"
"251.26346","430.81604","0.5424"
"308.11414","437.43585","0.528"
"339.20435","444.1828","0.5184"
"369.69498","450.46814","0.51360005"
"417.2125","460.7489","0.5088"
"450.9606","467.34985","0.48960003"
"492.96478","477.57153","0.48960003"
"528.7119","486.3341","0.48960003"
"555.87445","492.826","0.4848"
"581.9141","499.3244","0.48000002"
"604.23254","505.83673","0.47520003"
"619.1431","512.9482","0.48960003"
"630.56494","517.2739","0.48960003"
"636.4726","521.58484","0.48960003"
"642.0646","525.9228","0.49440002"
"644.8833","529.53467","0.47520003"
"647.0371","535.65344","0.47040004"
"648.19763","544.49225","0.4512"
"649.0","555.30566","0.44640002"
"649.0","567.33026","0.43680003"
"649.0","579.8965","0.4128"
"650.8092","604.3303","0.3984"
"653.0469","626.8256","0.38880002"
"654.3281","639.98474","0.36960003"
"654.625","648.41943","0.36960003"
"655.25","657.9356","0.38880002"
"655.25","667.79285","0.3984"
"653.5694","674.73755","0.40320003"
"650.7939","678.80707","0.40800002"
"646.6872","683.0003","0.43680003"
"640.7156","686.59247","0.47520003"
"628.71155","691.5307","0.4848"
"594.02026","706.6823","0.48960003"
"563.1917","716.0516","0.49920002"
"531.31287","727.13776","0.51360005"
"481.70795","747.51105","0.5184"
"446.67807","761.62366","0.51360005"
"409.1109","778.99854","0.51360005"
"370.0051","797.52625","0.51360005"
"341.40335","813.6302","0.5184"
"297.78473","836.5676","0.528"
"277.57697","849.88525","0.5328"
"254.47495","863.1308","0.53760004"
"239.97162","871.00854","0.53760004"
"231.34317","875.7363","0.5328"
"226.5","878.0303","0.52320004"
"223.1836","880.4774","0.47040004"
