"ChallengeX","ChallengeY","Tester Name","Device Name"
"596.0","147.0","Ryan","nexus-06"
"248.0","756.0","Ryan","nexus-06"
"X","Y","PRESSURE"
"601.5","151.66669","0.1488"
"597.83344","155.22214","0.47520003"
"590.40265","166.97552","0.49920002"
"581.81946","181.45193","0.49920002"
"565.43634","206.24408","0.49920002"
"549.5663","230.41684","0.4848"
"533.5446","254.98953","0.4848"
"510.38666","293.25296","0.48960003"
"490.58334","327.63434","0.47520003"
"468.47543","362.41345","0.4656"
"441.6316","406.33838","0.4656"
"425.23352","435.19147","0.4656"
"402.22253","474.30023","0.46080002"
"382.4289","509.2591","0.46080002"
"366.519","538.42017","0.45600003"
"344.91855","580.18823","0.4512"
"331.63376","604.58405","0.4512"
"316.3322","630.7083","0.45600003"
"302.5119","657.80426","0.45600003"
"289.36475","680.77423","0.4656"
"281.5","695.6061","0.47040004"
"280.5686","698.37103","0.48000002"
"272.352","714.86285","0.4848"
"264.36865","732.76996","0.4848"
"260.8412","740.856","0.4848"
"259.625","744.39404","0.48000002"
"257.56708","748.6463","0.47520003"
