"ChallengeX","ChallengeY","Tester Name","Device Name"
"596.0","147.0","Jake","nexus-07"
"248.0","756.0","Jake","nexus-07"
"X","Y","PRESSURE"
"634.625","167.0303","0.072000004"
"630.9588","167.0303","0.24000001"
"628.18744","171.52734","0.2736"
"624.2833","180.50311","0.28320003"
"612.109","201.42813","0.2928"
"596.68115","224.59183","0.528"
"579.15704","247.6799","0.7056"
"555.7295","281.28052","0.73920006"
"535.6393","315.87292","0.58080006"
"513.1596","351.4787","0.48000002"
"484.54782","397.8653","0.44160002"
"459.62643","436.24017","0.42720002"
"421.07013","495.42975","0.5088"
"384.40186","548.83545","0.46080002"
"363.00345","576.93256","0.4176"
"344.8167","602.8353","0.40800002"
"321.95435","632.81995","0.3984"
"307.07245","654.5719","0.37440002"
"291.7951","676.49554","0.35040003"
"277.7738","698.10297","0.3456"
"267.3772","713.90564","0.35040003"
"259.08517","727.586","0.35040003"
"252.93735","736.56085","0.35040003"
"248.375","742.48486","0.36"
"245.83972","746.1085","0.36960003"
"243.23499","747.74506","0.33600003"
