"ChallengeX","ChallengeY","Tester Name","Device Name"
"461.0","576.0","Jake","nexus-08"
"516.0","278.0","Jake","nexus-08"
"191.0","503.0","Jake","nexus-08"
"627.0","704.0","Jake","nexus-08"
"X","Y","PRESSURE"
"470.875","580.15155","0.120000005"
"473.40518","571.7712","0.5856"
"478.63586","551.28955","0.6384"
"488.09085","499.3805","0.67200005"
"496.65643","450.69153","0.68640006"
"503.95624","400.68408","0.68640006"
"507.89233","360.40924","0.69600004"
"510.07623","330.1704","0.6912"
"512.24634","300.69342","0.7152"
"512.125","292.89957","0.7152"
"510.9975","286.31863","0.76320004"
"510.5625","283.7879","0.744"
"505.17255","282.84122","0.74880004"
"491.72827","291.11505","0.73440003"
"434.41898","330.45297","0.73920006"
"393.73267","353.2974","0.73440003"
"368.29175","369.70032","0.74880004"
"338.0907","389.50275","0.7824"
"311.2085","407.13733","0.7824"
"291.755","424.63922","0.7968"
"273.1516","440.54382","0.7968"
"260.44775","455.11133","0.8112"
"254.46323","462.67413","0.80640006"
"249.65979","470.8501","0.8112"
"245.79852","478.5064","0.79200006"
"242.93704","486.18335","0.7824"
"241.73962","493.0705","0.80160004"
"240.60999","499.0122","0.83040005"
"239.9375","502.2727","0.8352"
"239.38477","506.63068","0.83040005"
"239.625","509.66888","0.82080007"
"240.34668","512.8352","0.80640006"
"241.5369","515.39246","0.7728"
"250.61734","519.6345","0.7584"
"261.72232","522.5244","0.7728"
"287.7053","525.8901","0.80640006"
"319.57083","530.8426","0.80160004"
"369.25043","542.4321","0.78720003"
"389.9375","548.0304","0.78720003"
"425.9272","558.33734","0.77760005"
"490.4953","585.36346","0.74880004"
"540.18933","614.9189","0.73920006"
"569.3683","629.118","0.69600004"
"597.0085","644.20044","0.624"
"625.98615","662.7092","0.51360005"
"640.54175","671.5754","0.39360002"
"642.75","672.8788","0.2256"
