"ChallengeX","ChallengeY","Tester Name","Device Name"
"329.0","735.0","Ryan","nexus-09"
"261.0","452.0","Ryan","nexus-09"
"193.0","275.0","Ryan","nexus-09"
"269.0","576.0","Ryan","nexus-09"
"X","Y","PRESSURE"
"344.625","713.48486","0.115200005"
"341.5153","708.6809","0.35520002"
"336.8248","693.4648","0.38880002"
"323.721","647.94385","0.40800002"
"319.67868","631.2428","0.4128"
"315.02744","610.17664","0.4176"
"309.22018","585.87134","0.4176"
"303.87604","561.2955","0.4176"
"298.1476","536.9554","0.4176"
"293.76022","516.07495","0.42240003"
"290.9266","503.45703","0.42240003"
"288.16174","491.04633","0.42240003"
"286.4342","482.65546","0.42720002"
"284.12558","474.82025","0.42240003"
"281.8756","465.12396","0.42240003"
"278.95413","454.56348","0.42720002"
"276.755","446.47156","0.42720002"
"273.022","437.8662","0.42720002"
"268.375","425.90906","0.42240003"
"261.07098","409.7176","0.42720002"
"252.001","388.6996","0.42720002"
"242.68076","367.48456","0.432"
"233.32004","349.13583","0.432"
"225.87627","335.4785","0.432"
"219.12666","324.1302","0.432"
"212.83041","313.6408","0.432"
"207.10966","303.0043","0.43680003"
"205.25","299.84848","0.44160002"
"203.31007","297.3298","0.44640002"
"200.18633","293.15598","0.4656"
"200.59865","301.5039","0.4656"
"207.1672","318.6783","0.42720002"
"216.3481","344.2735","0.384"
"225.98076","368.61536","0.36960003"
"233.58566","394.18524","0.3648"
"240.90195","421.27637","0.39360002"
"248.8682","447.26404","0.37440002"
"257.6955","473.27344","0.36960003"
"265.5315","500.39478","0.35520002"
"270.01715","523.265","0.35040003"
"272.7155","539.884","0.36"
"276.0352","552.58844","0.36"
"276.83258","562.1254","0.37440002"
"278.77252","568.38794","0.3792"
"280.13107","575.93854","0.3312"
