"ChallengeX","ChallengeY","Tester Name","Device Name"
"287.0","592.0","tim","nexus7"
"274.0","724.0","tim","nexus7"
"356.0","105.0","tim","nexus7"
"454.0","391.0","tim","nexus7"
"X","Y","PRESSURE"
"316.2143","587.4286","0.17760001"
"305.8453","592.2399","0.384"
"303.5723","594.422","0.42720002"
"301.85657","597.85254","0.47520003"
"297.45062","604.16254","0.4848"
"295.7958","608.4069","0.47520003"
"290.935","620.0813","0.4176"
"284.68613","638.7731","0.4512"
"280.12424","653.81915","0.432"
"274.28888","672.1365","0.40320003"
"270.9152","685.3185","0.39360002"
"268.9272","696.9122","0.40800002"
"266.6607","710.0","0.37440002"
"265.3856","716.5491","0.36"
"264.42856","725.4173","0.3648"
"264.42856","732.94995","0.36"
"264.42856","738.49615","0.36960003"
"264.42856","742.44354","0.37440002"
"264.42856","746.3501","0.384"
"265.06912","748.3292","0.384"
"265.3214","749.8572","0.384"
"269.82062","741.2019","0.3792"
"275.72943","729.5432","0.3648"
"283.28787","707.69104","0.3456"
"291.7588","682.9892","0.3312"
"304.11758","644.07166","0.3312"
"309.8558","618.0532","0.3264"
"314.9171","598.4098","0.3312"
"321.06635","570.62354","0.3312"
"325.7586","530.2365","0.3264"
"327.8214","491.88245","0.35520002"
"329.50253","460.12286","0.35040003"
"330.5","409.30347","0.34080002"
"331.13013","373.09375","0.312"
"332.2857","342.14734","0.34080002"
"333.17343","327.78302","0.36"
"335.22342","289.7807","0.35520002"
"338.16803","250.52118","0.33600003"
"340.29337","223.51962","0.3648"
"343.95007","196.82443","0.3456"
"345.67856","182.09467","0.36"
"347.2677","159.21878","0.36960003"
"347.4643","143.00961","0.33600003"
"347.4643","139.91641","0.3264"
"348.08572","131.61371","0.32160002"
"349.25","126.03412","0.32160002"
"349.25","122.0","0.3264"
"349.25","119.76614","0.33600003"
"350.13898","117.71802","0.34080002"
"350.14285","116.42859","0.3648"
"351.32367","116.85715","0.4128"
"352.83047","118.58014","0.4656"
"356.842","124.57669","0.44640002"
"364.10297","133.76477","0.44160002"
"372.1528","148.03317","0.47040004"
"384.74152","168.608","0.42720002"
"395.9202","193.60675","0.432"
"408.04428","219.89343","0.384"
"414.53366","234.18497","0.38880002"
"423.36862","260.89017","0.38880002"
"438.11746","306.39392","0.3984"
"444.57663","332.96564","0.36960003"
"447.85303","349.96503","0.33600003"
"453.3069","372.5854","0.33600003"
"455.52548","387.86115","0.3072"
"459.65112","398.53424","0.28320003"
"461.91312","405.99042","0.26880002"
"468.0","416.0","0.1632"
