"ChallengeX","ChallengeY","Tester Name","Device Name"
"550.0","434.0","tim","nexus7"
"500.0","212.0","tim","nexus7"
"558.0","211.0","tim","nexus7"
"145.0","162.0","tim","nexus7"
"X","Y","PRESSURE"
"556.3928","502.5714","0.1824"
"551.2619","487.58868","0.36960003"
"548.7149","474.63086","0.35040003"
"546.0328","462.78864","0.31680003"
"543.1658","452.24475","0.34080002"
"537.9011","434.8678","0.35040003"
"530.27216","404.69952","0.31680003"
"527.2616","392.74127","0.3456"
"525.9729","371.41534","0.26880002"
"519.1156","344.31995","0.33600003"
"509.6001","314.26312","0.35040003"
"504.80505","299.99866","0.3312"
"498.70728","286.89636","0.37440002"
"490.1411","266.80972","0.39360002"
"483.35822","251.17508","0.37440002"
"481.32855","246.1315","0.35040003"
"477.08203","239.22098","0.3456"
"474.3746","233.66785","0.35040003"
"472.4476","229.96799","0.3648"
"470.67856","226.1883","0.36960003"
"470.67856","224.06796","0.37440002"
"471.73566","222.12802","0.384"
"472.91074","220.14288","0.38880002"
"475.6411","219.7143","0.38880002"
"483.24243","217.98773","0.384"
"502.1657","216.81046","0.3264"
"526.082","216.2857","0.35520002"
"548.3471","216.2857","0.36960003"
"565.09814","216.2857","0.37440002"
"576.5339","217.82343","0.3984"
"585.8572","218.0","0.4128"
"592.0955","218.0","0.40800002"
"598.17993","218.0","0.4128"
"603.6698","218.0","0.40320003"
"607.93634","218.0","0.40320003"
"612.2676","218.0","0.4176"
"614.3875","218.0","0.42240003"
"615.5505","218.0","0.42240003"
"614.40796","217.12308","0.42240003"
"611.48694","217.14285","0.42240003"
"608.24445","216.2857","0.42240003"
"602.2139","214.21136","0.42240003"
"592.9361","212.15915","0.4176"
"578.68146","208.92978","0.40320003"
"551.18506","206.50003","0.35520002"
"510.14093","197.10968","0.35040003"
"494.82275","194.00888","0.34080002"
"474.162","189.63495","0.38880002"
"438.98993","183.75653","0.42720002"
"408.7614","179.26364","0.4176"
"380.83902","175.12698","0.36960003"
"352.91446","171.99176","0.39360002"
"339.7679","169.91144","0.35040003"
"304.785","166.16617","0.3792"
"268.8583","160.85162","0.34080002"
"249.05222","158.25406","0.36"
"225.31393","154.845","0.3792"
"206.39609","152.96469","0.40800002"
"186.10448","149.81891","0.4176"
"175.14285","148.14288","0.4128"
"168.97968","147.15677","0.4128"
"162.39627","146.85715","0.39360002"
"159.96428","147.7143","0.28320003"
