"ChallengeX","ChallengeY","Tester Name","Device Name"
"335.0","688.0","tim","nexus7"
"647.0","813.0","tim","nexus7"
"604.0","604.0","tim","nexus7"
"634.0","306.0","tim","nexus7"
"X","Y","PRESSURE"
"322.4643","668.0","0.14400001"
"334.11206","677.8864","0.3792"
"344.81726","684.3039","0.34080002"
"349.631","687.07666","0.33600003"
"371.58383","696.9505","0.33600003"
"410.72284","719.9688","0.3264"
"437.1667","735.4234","0.3072"
"475.83945","753.9535","0.312"
"515.60706","776.5304","0.3312"
"540.69617","789.89417","0.31680003"
"575.1428","803.0","0.26880002"
"586.6812","808.42065","0.2976"
"626.41516","826.3379","0.2544"
"644.4162","834.8684","0.24000001"
"661.64374","843.0437","0.2784"
"677.5661","850.46643","0.28800002"
"688.83545","856.17224","0.28320003"
"696.63184","859.73364","0.31680003"
"700.1428","861.28577","0.3456"
"703.30707","862.80457","0.3648"
"707.22473","865.08435","0.384"
"710.5227","867.12524","0.38880002"
"712.3307","866.8572","0.384"
"714.5564","866.8572","0.3792"
"714.4286","865.0836","0.35520002"
"711.54095","858.2125","0.34080002"
"707.1946","841.6063","0.3312"
"697.7225","807.6007","0.32160002"
"688.521","782.3792","0.3456"
"677.7956","745.8947","0.33600003"
"671.6195","719.3001","0.3264"
"663.9822","696.71423","0.30240002"
"661.7631","680.939","0.30240002"
"653.7924","646.9165","0.2976"
"651.2966","598.201","0.3072"
"646.638","570.7329","0.31680003"
"644.7929","529.2743","0.31680003"
"641.9042","504.98724","0.3264"
"642.4054","470.86493","0.31680003"
"642.1071","452.0","0.3312"
"644.12","425.61615","0.33600003"
"644.7857","387.3943","0.35040003"
"644.74475","353.82147","0.33600003"
"646.5714","338.17004","0.34080002"
"648.85065","316.10864","0.33600003"
"653.1562","300.87524","0.312"
"653.7143","290.02094","0.3312"
"653.7143","286.02197","0.34080002"
"655.8394","275.1876","0.36"
"657.9836","265.7044","0.35520002"
"658.1786","262.489","0.26880002"
"656.83923","261.7143","0.15840001"
