"ChallengeX","ChallengeY","Tester Name","Device Name"
"335.0","688.0","tim","nexus7"
"647.0","813.0","tim","nexus7"
"604.0","604.0","tim","nexus7"
"634.0","306.0","tim","nexus7"
"X","Y","PRESSURE"
"332.2857","589.1429","0.1296"
"337.03683","599.7039","0.35040003"
"343.70117","604.4334","0.33600003"
"356.12027","613.32324","0.3312"
"373.4856","625.05774","0.312"
"388.95148","633.90405","0.2928"
"399.2799","639.82227","0.28800002"
"424.22098","652.5555","0.3072"
"463.8513","673.32465","0.2976"
"489.49768","685.1791","0.2784"
"515.20996","695.6512","0.2784"
"541.8824","706.1244","0.2928"
"568.1742","718.4289","0.2928"
"589.4286","728.8571","0.2976"
"605.34717","736.4268","0.28800002"
"633.3271","751.2498","0.2928"
"649.59485","759.8798","0.2784"
"662.17554","767.4172","0.30240002"
"675.0984","775.1109","0.2928"
"683.0516","781.3473","0.2928"
"689.8246","785.682","0.2976"
"692.83405","787.84076","0.30240002"
"697.4278","791.39355","0.2976"
"701.3625","793.45654","0.3264"
"703.6309","794.8572","0.34080002"
"705.2312","795.71436","0.35040003"
"707.2784","795.71436","0.3648"
"708.1786","795.0687","0.35520002"
"707.38104","794.09155","0.35040003"
"707.2857","791.12823","0.32160002"
"704.8207","786.0437","0.2976"
"702.14087","777.2647","0.30240002"
"692.8665","757.25116","0.31680003"
"686.48505","738.3798","0.2976"
"679.2357","710.6217","0.30240002"
"674.6964","691.5715","0.2736"
"668.1144","666.4576","0.24000001"
"656.128","616.4587","0.2592"
"649.8484","581.1551","0.2592"
"643.93756","552.5863","0.2784"
"637.15674","510.60944","0.2544"
"635.8571","479.92163","0.264"
"632.7322","452.85718","0.2736"
"635.70276","422.98798","0.2784"
"639.07294","376.84723","0.2784"
"643.153","351.39612","0.2784"
"649.72534","326.69025","0.2976"
"654.7953","305.9245","0.28320003"
"659.7346","294.83698","0.2736"
"664.1445","286.25977","0.2976"
"666.2558","281.34888","0.3072"
"671.4832","272.97003","0.2976"
"678.91626","265.8061","0.24000001"
"683.9442","260.97934","0.120000005"
