"ChallengeX","ChallengeY","Tester Name","Device Name"
"287.0","592.0","tim","nexus7"
"274.0","724.0","tim","nexus7"
"356.0","105.0","tim","nexus7"
"454.0","391.0","tim","nexus7"
"X","Y","PRESSURE"
"294.7857","587.4286","0.20160002"
"286.35907","596.3753","0.5088"
"285.85715","600.0487","0.52320004"
"285.85715","604.14233","0.5568"
"284.33362","608.102","0.5424"
"282.4778","614.7922","0.48960003"
"278.33322","635.04144","0.44640002"
"275.37482","661.5211","0.3648"
"273.2814","676.2234","0.34080002"
"269.71802","697.5327","0.3312"
"265.31924","718.5798","0.30240002"
"261.84006","729.9267","0.2976"
"262.1669","733.2563","0.2976"
"260.85715","739.7996","0.30240002"
"259.9643","745.64056","0.3456"
"259.9643","749.81824","0.3792"
"259.9643","752.13715","0.38880002"
"259.9643","753.28577","0.384"
"260.8435","750.3119","0.40320003"
"262.1964","746.4286","0.40800002"
"266.3236","735.6705","0.34080002"
"277.2905","695.4981","0.3072"
"286.8458","649.9229","0.31680003"
"293.19196","618.1894","0.33600003"
"300.27634","570.97473","0.33600003"
"307.27463","527.4658","0.32160002"
"316.7001","481.67548","0.3456"
"319.8708","459.97235","0.36960003"
"326.12152","409.21222","0.384"
"336.00272","358.64215","0.36"
"342.79556","316.16553","0.3792"
"347.67593","287.00464","0.37440002"
"353.0638","251.43445","0.3456"
"355.6255","231.36667","0.3648"
"359.03696","204.92929","0.3456"
"360.88336","194.4791","0.34080002"
"365.42993","169.60712","0.3792"
"366.60687","153.54416","0.38880002"
"367.8886","143.85626","0.37440002"
"368.0","137.4526","0.35520002"
"369.7857","133.09921","0.35040003"
"369.7857","129.89874","0.35520002"
"369.7857","128.42859","0.3792"
"371.0103","126.82437","0.40320003"
"371.14578","129.3057","0.57600003"
"373.34454","133.11868","0.52320004"
"375.44107","139.43082","0.45600003"
"379.98203","153.93686","0.43680003"
"385.35187","167.12155","0.40800002"
"393.69476","197.85855","0.35520002"
"409.57318","243.06345","0.3312"
"421.0975","279.60873","0.312"
"425.29758","298.19397","0.312"
"432.04794","325.44873","0.31680003"
"437.416","342.27167","0.32160002"
"439.69012","354.93518","0.37440002"
"442.6425","360.62775","0.38880002"
"447.64893","377.96033","0.36960003"
"455.05353","392.85712","0.24960001"
