"ChallengeX","ChallengeY","Tester Name","Device Name"
"550.0","434.0","tim","nexus7"
"500.0","212.0","tim","nexus7"
"558.0","211.0","tim","nexus7"
"145.0","162.0","tim","nexus7"
"X","Y","PRESSURE"
"545.6786","399.7143","0.16800001"
"539.4286","389.37982","0.26880002"
"537.7598","386.22467","0.26880002"
"536.1595","383.15198","0.28320003"
"534.4436","379.3576","0.30240002"
"532.7322","373.14294","0.31680003"
"532.27496","371.38745","0.312"
"528.6174","362.19604","0.2928"
"526.07446","352.7202","0.2736"
"524.74884","344.2013","0.26880002"
"523.47925","335.89746","0.28800002"
"522.16656","327.42816","0.32160002"
"519.9401","318.22778","0.28800002"
"517.5536","309.28577","0.28800002"
"516.2143","303.13354","0.2736"
"513.9231","294.91626","0.2736"
"511.70154","286.3853","0.30240002"
"508.6895","278.6144","0.32160002"
"506.4806","271.47995","0.3312"
"503.7143","262.59384","0.35040003"
"502.8214","255.07758","0.28800002"
"502.02374","251.70258","0.28800002"
"500.14282","245.64545","0.2736"
"499.59424","240.94669","0.26880002"
"498.20758","236.57004","0.26880002"
"497.4643","233.77078","0.26880002"
"497.4643","231.68668","0.26880002"
"497.4643","229.67899","0.26880002"
"498.80353","227.85712","0.26880002"
"499.2046","226.61505","0.26880002"
"501.3022","225.45847","0.26880002"
"503.51062","223.33838","0.26880002"
"505.94867","222.07034","0.26880002"
"511.32874","219.84909","0.24960001"
"516.9076","218.85715","0.24480002"
"522.6867","218.0","0.2544"
"525.3351","217.08133","0.2592"
"532.4877","216.2857","0.26880002"
"537.892","215.42859","0.24960001"
"544.3608","214.57144","0.2736"
"548.9526","214.57144","0.24000001"
"551.1636","214.57144","0.2544"
"554.09204","214.57144","0.2544"
"555.9464","214.57144","0.2544"
"557.2876","214.57144","0.2544"
"558.54974","214.57144","0.2544"
"560.41077","214.57144","0.2544"
"557.4553","214.57144","0.2544"
"553.508","213.61526","0.2544"
"548.3418","212.28079","0.2544"
"544.9188","211.18546","0.2544"
"536.2918","209.35529","0.264"
"520.6923","206.76486","0.26880002"
"498.73407","203.37357","0.2928"
"477.14957","199.35672","0.30240002"
"452.46683","194.91046","0.32160002"
"430.12604","188.95679","0.34080002"
"405.0297","182.55515","0.33600003"
"391.79904","178.71179","0.2976"
"358.73","171.99158","0.2976"
"332.6831","166.45255","0.2928"
"315.61716","162.61874","0.3072"
"303.3353","160.49869","0.30240002"
"291.55725","157.62631","0.30240002"
"281.0122","155.69836","0.312"
"274.25","154.14288","0.3312"
"266.0272","152.79727","0.3456"
"251.93823","149.55368","0.35040003"
"240.7189","146.95255","0.3456"
"233.61395","145.8536","0.35040003"
"225.89764","143.91635","0.35040003"
"217.06052","142.57144","0.34080002"
"210.62299","142.57144","0.3648"
"207.652","142.57144","0.36960003"
"202.02992","142.57144","0.36960003"
"194.15474","141.77716","0.36960003"
"187.48148","141.7143","0.3648"
"181.60489","141.7143","0.35040003"
"175.5096","141.7143","0.35520002"
"171.04836","141.7143","0.3264"
"166.2143","143.0","0.23040001"
"164.728","142.57144","0.17760001"
