"ChallengeX","ChallengeY","Tester Name","Device Name"
"335.0","688.0","tim","nexus7"
"647.0","813.0","tim","nexus7"
"604.0","604.0","tim","nexus7"
"634.0","306.0","tim","nexus7"
"X","Y","PRESSURE"
"301.0357","634.5714","0.1824"
"312.59406","642.26227","0.40320003"
"316.6607","643.5715","0.3792"
"322.8677","646.765","0.3456"
"343.23285","654.83325","0.35520002"
"362.34418","664.25916","0.35040003"
"390.09497","678.0694","0.30240002"
"417.12552","691.6785","0.2976"
"450.3183","707.5128","0.28320003"
"490.64832","727.7878","0.2976"
"507.73212","736.5714","0.2784"
"530.1352","747.1106","0.2928"
"571.7401","768.37946","0.3072"
"600.3039","784.3888","0.31680003"
"621.91626","795.8949","0.28320003"
"639.6291","806.95337","0.2976"
"660.1367","817.5851","0.3264"
"675.33514","828.0906","0.31680003"
"679.783","830.7871","0.312"
"690.938","838.1089","0.34080002"
"703.2056","845.4785","0.35040003"
"711.79376","849.73535","0.384"
"717.014","852.66956","0.38880002"
"719.7282","854.0","0.39360002"
"721.9205","854.0","0.43680003"
"723.19727","854.0","0.44640002"
"723.3571","853.06824","0.46080002"
"723.3571","850.297","0.42720002"
"723.3571","845.1686","0.37440002"
"721.9124","838.1665","0.35520002"
"716.1521","819.5204","0.3456"
"709.988","794.06824","0.33600003"
"699.25","756.71423","0.34080002"
"695.0024","737.07874","0.35520002"
"684.822","691.2277","0.3456"
"675.60693","643.55334","0.3264"
"673.0762","615.83417","0.3264"
"666.0775","574.57855","0.3312"
"663.7802","544.429","0.34080002"
"659.42914","508.66077","0.3264"
"657.788","492.127","0.32160002"
"657.2857","446.36224","0.3312"
"657.0219","405.18842","0.33600003"
"659.5923","380.7138","0.35040003"
"659.9621","354.3109","0.34080002"
"662.15955","326.88873","0.36960003"
"666.1486","301.4895","0.35040003"
"667.5535","290.85712","0.37440002"
"670.1575","271.48282","0.3984"
"676.57166","249.37051","0.37440002"
"680.9902","236.53781","0.35520002"
"683.4316","227.24985","0.36960003"
"687.8742","219.38113","0.33600003"
"690.70264","214.81705","0.2736"
"692.5535","213.2857","0.15840001"
