"ChallengeX","ChallengeY","Tester Name","Device Name"
"335.0","688.0","tim","nexus7"
"647.0","813.0","tim","nexus7"
"604.0","604.0","tim","nexus7"
"634.0","306.0","tim","nexus7"
"X","Y","PRESSURE"
"289.42856","686.0","0.21120001"
"289.42856","696.1619","0.38880002"
"293.83102","697.96045","0.384"
"312.62878","705.3135","0.3792"
"340.6842","715.43085","0.36960003"
"367.20255","726.8811","0.36960003"
"394.9589","740.6835","0.3312"
"435.87326","759.4782","0.3264"
"476.2294","779.3219","0.3264"
"499.96204","792.0498","0.312"
"548.42737","816.6321","0.32160002"
"588.0637","841.1963","0.31680003"
"628.1859","860.1749","0.2976"
"644.6978","867.94385","0.2784"
"662.18176","878.93445","0.2976"
"674.2327","887.2439","0.312"
"681.8393","893.0001","0.3072"
"683.8141","894.89575","0.312"
"688.16","897.96265","0.3456"
"692.4201","900.00745","0.35520002"
"694.89166","902.1017","0.3792"
"695.9736","902.0","0.39360002"
"695.6786","900.20984","0.4128"
"693.351","897.5311","0.3792"
"692.17566","895.2744","0.36960003"
"687.8053","888.59766","0.35040003"
"677.4179","868.062","0.35520002"
"666.77386","847.52014","0.3312"
"653.627","824.6897","0.35520002"
"642.205","799.3684","0.3456"
"630.69775","774.9128","0.37440002"
"624.25","750.71423","0.3456"
"619.7019","732.7675","0.36960003"
"611.47266","689.01294","0.35040003"
"606.1676","638.3091","0.3264"
"602.8214","602.2769","0.3456"
"600.83405","566.9117","0.3312"
"601.66235","527.14136","0.3264"
"600.76337","496.33978","0.3312"
"602.2927","483.45526","0.32160002"
"605.5958","438.85016","0.3264"
"608.7435","399.93243","0.35520002"
"611.3035","365.4286","0.3456"
"612.93494","342.92566","0.384"
"616.2143","320.3747","0.38880002"
"617.053","305.68842","0.36"
"618.4464","299.0","0.36"
"620.3573","289.82782","0.384"
"622.42706","282.39294","0.40320003"
"625.86334","277.47382","0.32160002"
"626.9286","275.4286","0.24480002"
