"ChallengeX","ChallengeY","Tester Name","Device Name"
"162.0","352.0","lou","nexus-59"
"253.0","458.0","lou","nexus-59"
"617.0","205.0","lou","nexus-59"
"461.0","346.0","lou","nexus-59"
"X","Y","PRESSURE","SIZE","TIME"
"155.5","323.4286","0.22080001","0.41935483","0"
"154.59889","332.07928","0.6528","0.41935483","73"
"156.47426","335.5849","0.7056","0.41935483","90"
"163.87401","345.5218","0.73920006","0.48387095","107"
"180.15283","363.72626","0.74880004","0.48387095","124"
"201.5563","389.41046","0.77760005","0.48387095","145"
"216.81227","409.0238","0.74880004","0.516129","161"
"224.24503","420.7083","0.744","0.516129","178"
"229.89783","427.30627","0.73440003","0.516129","195"
"236.194","434.32336","0.7152","0.516129","212"
"242.85748","438.81152","0.73920006","0.516129","229"
"250.20569","439.1278","0.80160004","0.516129","246"
"261.0913","434.74475","0.8112","0.58064514","263"
"288.5446","420.41296","0.8112","0.58064514","280"
"323.32428","398.02228","0.82080007","0.61290324","297"
"355.14453","378.3659","0.8112","0.61290324","313"
"377.46664","364.81372","0.7968","0.61290324","330"
"424.5007","335.27545","0.7584","0.6451613","347"
"467.01978","306.82715","0.75360006","0.61290324","364"
"507.5506","277.7675","0.73920006","0.6774193","381"
"541.4307","248.83466","0.73440003","0.61290324","398"
"562.0895","231.0781","0.71040004","0.6774193","415"
"582.08453","214.7431","0.70080006","0.61290324","432"
"594.33923","204.2857","0.71040004","0.61290324","442"
"605.9587","196.66974","0.70080006","0.61290324","465"
"613.7313","192.16052","0.6672","0.61290324","482"
"618.4858","191.42859","0.6624","0.61290324","499"
"620.5941","193.06177","0.67200005","0.61290324","516"
"619.4598","197.51007","0.7056","0.61290324","533"
"614.2653","205.9816","0.6912","0.61290324","550"
"598.13416","228.49963","0.73440003","0.61290324","567"
"579.27466","247.46204","0.72480005","0.61290324","584"
"535.51984","289.02863","0.73440003","0.6451613","601"
"491.4134","330.95166","0.7824","0.61290324","618"
"450.5423","369.33087","0.7968","0.61290324","634"
"420.01733","402.6714","0.82080007","0.61290324","651"
"401.12506","424.2392","0.7968","0.6451613","668"
"385.2753","448.16687","0.7584","0.7096774","685"
"380.0536","460.57147","0.56640005","0.7096774","698"
