"ChallengeX","ChallengeY","Tester Name","Device Name"
"335.0","688.0","maggie","nexus-59"
"647.0","813.0","maggie","nexus-59"
"604.0","604.0","maggie","nexus-59"
"634.0","306.0","maggie","nexus-59"
"X","Y","PRESSURE","SIZE","TIME"
"381.39285","701.4286","0.2064","0.41935483","0"
"397.51733","710.5342","0.46080002","0.41935483","52"
"415.93063","716.9919","0.46080002","0.41935483","67"
"475.03223","738.8672","0.44160002","0.41935483","84"
"537.0321","760.39105","0.40800002","0.41935483","101"
"595.2627","775.2528","0.39360002","0.41935483","118"
"639.556","784.7347","0.39360002","0.41935483","135"
"660.45734","786.2857","0.36","0.38709676","152"
"672.42816","785.7258","0.36","0.38709676","169"
"675.89026","784.618","0.35520002","0.38709676","185"
"677.42615","777.6296","0.3456","0.38709676","202"
"668.9336","753.9419","0.33600003","0.38709676","219"
"646.5519","711.2161","0.38880002","0.38709676","236"
"631.478","684.63696","0.384","0.38709676","253"
"619.10657","660.04407","0.4176","0.38709676","270"
"609.3624","633.24054","0.4128","0.38709676","287"
"605.49994","613.5715","0.4512","0.38709676","299"
"606.29315","580.6702","0.4512","0.38709676","321"
"617.8973","514.40454","0.40800002","0.38709676","338"
"632.555","460.29175","0.4512","0.38709676","355"
"653.1763","414.85602","0.42720002","0.38709676","371"
"675.2578","364.61896","0.2592","0.3548387","388"
