"ChallengeX","ChallengeY","Tester Name","Device Name"
"162.0","352.0","tim","nexus-59"
"253.0","458.0","tim","nexus-59"
"617.0","205.0","tim","nexus-59"
"461.0","346.0","tim","nexus-59"
"X","Y","PRESSURE","SIZE","TIME"
"158.17857","321.7143","0.17760001","0.41935483","0"
"154.5064","330.52753","0.38880002","0.38709676","75"
"153.71428","331.96942","0.40320003","0.38709676","89"
"153.71428","333.5011","0.42720002","0.38709676","103"
"153.71428","336.64935","0.4512","0.38709676","117"
"153.71428","339.79578","0.43680003","0.38709676","130"
"155.44","343.88483","0.4176","0.38709676","147"
"157.5679","349.95557","0.3984","0.38709676","164"
"161.31215","357.7307","0.39360002","0.38709676","181"
"166.28925","368.14392","0.384","0.38709676","197"
"173.71858","382.80963","0.35520002","0.38709676","214"
"177.44955","391.167","0.34080002","0.38709676","231"
"182.12254","404.43945","0.33600003","0.38709676","248"
"191.66153","425.4301","0.35520002","0.38709676","265"
"199.59517","442.70837","0.35520002","0.38709676","282"
"203.79189","452.149","0.3312","0.3548387","299"
"208.11441","460.05048","0.34080002","0.3548387","316"
"212.3215","466.1087","0.35040003","0.3548387","333"
"216.14642","469.93488","0.36","0.3548387","350"
"218.11935","471.82886","0.35520002","0.3548387","366"
"224.02603","474.78546","0.3456","0.3548387","383"
"231.78891","476.0","0.35040003","0.3548387","400"
"245.58304","473.88007","0.4128","0.3548387","417"
"267.68732","465.91077","0.43680003","0.3548387","434"
"292.8815","454.19977","0.42720002","0.3548387","451"
"318.70752","439.96393","0.42720002","0.3548387","468"
"352.375","419.0","0.45600003","0.3548387","483"
"374.80603","406.4087","0.4656","0.3548387","502"
"412.02994","383.31482","0.45600003","0.3548387","519"
"445.94968","359.58923","0.4512","0.3548387","535"
"469.2711","345.11725","0.432","0.3548387","552"
"492.4074","329.7127","0.42720002","0.3548387","569"
"514.654","314.70575","0.44640002","0.3548387","586"
"535.1066","300.18323","0.43680003","0.3548387","603"
"543.25354","294.69482","0.4176","0.3548387","620"
"555.2632","286.9787","0.3792","0.3548387","637"
"571.8057","275.68845","0.384","0.3548387","654"
"580.4324","269.47726","0.38880002","0.3548387","671"
"587.01587","265.2584","0.4176","0.3548387","688"
"591.9654","260.99323","0.432","0.3548387","704"
"596.58545","256.558","0.4512","0.3548387","722"
"600.1428","253.14285","0.46080002","0.3548387","737"
"601.0626","252.25989","0.48000002","0.3548387","756"
"605.0187","250.17636","0.4848","0.3548387","773"
"607.194","248.08804","0.4848","0.3548387","790"
"609.36975","245.99933","0.4848","0.3548387","806"
"611.545","245.42859","0.4848","0.3548387","823"
"613.08923","245.42859","0.4848","0.3548387","836"
"612.6428","246.88168","0.4848","0.3548387","857"
"612.6428","247.9599","0.4848","0.3548387","874"
"611.1233","251.1731","0.4848","0.3548387","891"
"605.86053","256.2253","0.4848","0.3548387","908"
"597.494","265.1143","0.3984","0.38709676","925"
"578.4016","283.7558","0.384","0.38709676","942"
"555.04913","302.35413","0.39360002","0.38709676","959"
"534.227","321.237","0.42720002","0.38709676","976"
"515.3214","337.5714","0.40800002","0.38709676","989"
"501.0567","348.95532","0.4176","0.38709676","1009"
"483.83618","362.28375","0.46080002","0.38709676","1026"
"472.0547","371.05743","0.48000002","0.38709676","1043"
"463.67007","379.01385","0.47520003","0.38709676","1060"
"457.11945","385.3025","0.42240003","0.38709676","1077"
"451.55957","389.78278","0.2064","0.29032257","1094"
"450.14285","391.14288","0.15840001","0.2580645","1101"
