"ChallengeX","ChallengeY","Tester Name","Device Name"
"508.0","672.0","lyle","nexus-79"
"340.0","367.0","lyle","nexus-79"
"439.0","650.0","lyle","nexus-79"
"106.0","619.0","lyle","nexus-79"
"X","Y","PRESSURE","SIZE","TIME"
"503.7143","674.2857","0.35040003","0.41935483","0"
"502.63867","663.47363","0.6768","0.41935483","57"
"500.75995","658.0629","0.72","0.41935483","71"
"496.7511","651.4016","0.75360006","0.41935483","88"
"493.89282","646.0","0.7584","0.41935483","100"
"490.2787","639.0506","0.76320004","0.48387095","122"
"476.32544","610.5563","0.7728","0.48387095","138"
"464.96332","586.9694","0.744","0.54838705","155"
"451.04004","561.1511","0.74880004","0.54838705","172"
"437.37292","536.62463","0.75360006","0.58064514","189"
"423.90933","514.40045","0.744","0.61290324","205"
"413.05127","495.61475","0.76320004","0.61290324","222"
"408.46613","487.91168","0.7728","0.61290324","239"
"400.28165","471.04742","0.73920006","0.61290324","256"
"388.88745","447.37146","0.75360006","0.61290324","272"
"379.1228","427.35577","0.74880004","0.61290324","289"
"370.77615","410.49182","0.7296","0.6451613","306"
"362.72977","395.8603","0.73920006","0.61290324","322"
"356.26282","386.07764","0.79200006","0.61290324","339"
"350.2862","377.61206","0.81600004","0.61290324","356"
"347.9277","374.7306","0.83040005","0.61290324","373"
"345.93936","372.82178","0.84000003","0.61290324","389"
"344.7857","373.3838","0.80160004","0.61290324","406"
"345.71033","376.91815","0.7584","0.61290324","423"
"348.70444","384.54773","0.744","0.6451613","440"
"359.65942","406.27185","0.74880004","0.61290324","456"
"372.08524","432.29382","0.73440003","0.61290324","473"
"390.31918","471.45923","0.744","0.61290324","490"
"395.22803","488.05768","0.72480005","0.61290324","506"
"404.07117","521.05206","0.72480005","0.61290324","523"
"414.04636","568.55347","0.7056","0.61290324","540"
"420.47375","600.642","0.64320004","0.6451613","557"
"426.52902","624.75146","0.60480005","0.61290324","577"
"429.39975","636.63214","0.63360006","0.61290324","594"
"431.47748","643.6723","0.70080006","0.61290324","610"
"431.39285","649.7126","0.73440003","0.61290324","627"
"432.8175","651.30676","0.744","0.61290324","644"
"433.17856","655.3465","0.7728","0.61290324","660"
"433.17856","658.36163","0.7824","0.61290324","677"
"431.58716","660.3849","0.76320004","0.61290324","694"
"427.37326","662.2857","0.71040004","0.61290324","711"
"415.92944","661.7158","0.68160003","0.61290324","727"
"384.0818","654.2069","0.6672","0.61290324","744"
"354.1607","644.7143","0.7056","0.61290324","755"
"333.88687","640.1496","0.744","0.61290324","778"
"286.9292","628.043","0.7584","0.61290324","794"
"242.23529","620.4257","0.76320004","0.61290324","811"
"216.43712","617.5989","0.77760005","0.61290324","828"
"190.29297","615.6682","0.77760005","0.61290324","844"
"167.63818","614.2857","0.75360006","0.61290324","861"
"156.77975","614.1238","0.624","0.61290324","878"
"153.26787","613.0","0.48000002","0.58064514","886"
