"ChallengeX","ChallengeY","Tester Name","Device Name"
"253.0","779.0","Ryan","nexus-06"
"553.0","161.0","Ryan","nexus-06"
"643.0","787.0","Ryan","nexus-06"
"218.0","409.0","Ryan","nexus-06"
"635.0","517.0","Ryan","nexus-06"
"634.0","686.0","Ryan","nexus-06"
"209.0","893.0","Ryan","nexus-06"
"X","Y","PRESSURE"
"247.75","778.3334","0.124800004"
"251.35086","767.06433","0.3792"
"259.7","747.5454","0.39360002"
"272.45145","721.3366","0.42240003"
"285.95975","692.4851","0.44160002"
"308.0591","647.9889","0.4512"
"314.9375","635.0","0.46080002"
"319.84467","628.4157","0.45600003"
"351.9608","562.23987","0.5952"
"389.31863","491.79163","0.5568"
"412.44763","440.10907","0.5088"
"434.64304","394.47656","0.47520003"
"453.39453","351.88803","0.4512"
"466.72964","322.6812","0.43680003"
"490.02573","273.02792","0.42720002"
"505.43164","239.34244","0.40320003"
"516.27545","214.09457","0.3792"
"531.8923","172.48557","0.36"
"540.65063","148.8772","0.36"
"547.59283","132.60806","0.36"
"552.8303","122.68405","0.3648"
"557.6437","112.47894","0.37440002"
"560.1396","108.92172","0.384"
"561.95624","106.719696","0.42240003"
"566.35516","117.414276","0.44160002"
"572.0686","143.45972","0.4128"
"577.62286","179.874","0.40320003"
"581.0247","212.20523","0.38880002"
"585.4435","260.65326","0.384"
"589.2913","294.29117","0.36960003"
"597.83276","338.77472","0.36"
"602.125","370.75757","0.36"
"602.2892","372.88745","0.35520002"
"606.9865","432.84412","0.35520002"
"611.6361","490.29974","0.34080002"
"614.33154","529.4012","0.3312"
"615.4478","557.26013","0.3312"
"616.5663","587.341","0.3456"
"618.9787","613.8431","0.3456"
"623.133","636.01447","0.3456"
"630.8659","660.4236","0.44160002"
"635.7874","682.2814","0.49440002"
"640.2756","694.19","0.5328"
"644.0","708.63635","0.47520003"
"648.3559","725.5543","0.6624"
"649.4867","733.62415","0.5328"
"650.566","742.9024","0.5712"
"651.1875","747.1212","0.5088"
"650.5625","757.42426","0.47520003"
"647.7729","761.1733","0.624"
"645.0917","762.0618","0.67200005"
"634.0343","761.9697","0.58080006"
"623.2899","755.16174","0.6528"
"603.78015","740.4936","0.5712"
"582.38745","720.4588","0.5328"
"557.778","702.54047","0.51360005"
"538.15125","683.33826","0.68640006"
"531.1875","671.0606","0.7968"
"506.22925","658.2446","0.7296"
"455.45316","623.4613","0.62880003"
"418.48642","591.5685","0.59040004"
"394.63074","573.05676","0.5424"
"369.19678","553.9542","0.504"
"343.77762","535.02625","0.48960003"
"320.52377","517.0764","0.49440002"
"297.61288","498.70367","0.48960003"
"262.7953","465.65002","0.4848"
"231.54218","437.46173","0.48000002"
"222.93895","429.42572","0.49920002"
"216.17775","425.80182","0.48960003"
"211.1875","422.87878","0.49440002"
"208.44069","421.00208","0.504"
"207.6353","418.0553","0.52320004"
"225.22928","419.15613","0.53760004"
"250.43289","423.70544","0.528"
"277.2807","429.12238","0.5184"
"305.73984","433.2752","0.5184"
"335.25424","436.51563","0.49920002"
"365.52283","444.383","0.49440002"
"395.68524","450.7384","0.49920002"
"424.3125","455.60608","0.48960003"
"487.55823","471.63605","0.48000002"
"528.1774","483.2057","0.47520003"
"551.31824","490.05786","0.47040004"
"567.2377","495.34277","0.47040004"
"579.40717","500.1645","0.47520003"
"588.00305","504.21362","0.48000002"
"594.8745","508.39362","0.48000002"
"598.0625","510.1515","0.4848"
"603.82544","516.30365","0.49440002"
"607.7906","521.2411","0.49440002"
"611.2233","527.80835","0.46080002"
"614.69257","536.48773","0.43680003"
"621.231","555.90533","0.4176"
"630.8646","581.0013","0.4176"
"638.5123","602.36926","0.39360002"
"643.8254","621.8985","0.3792"
"647.75604","638.7648","0.36"
"651.8115","658.4805","0.49440002"
"653.325","671.1819","0.45600003"
"654.413","680.3252","0.40800002"
"655.459","687.6309","0.61920005"
"655.25","691.4633","0.5328"
"653.0634","697.82684","0.5088"
"651.9843","699.57086","0.82080007"
"646.54944","700.9102","0.8112"
"640.1277","703.75665","0.7056"
"623.4283","708.7421","0.75360006"
"563.1154","723.69934","0.69600004"
"530.48157","734.4383","0.7824"
"504.04163","743.96686","0.7056"
"460.82004","759.86847","0.61920005"
"430.44147","775.4595","0.6096"
"400.5879","785.31775","0.744"
"352.90002","818.43665","0.6144"
"315.0664","835.3921","0.5568"
"296.7998","846.28015","0.53760004"
"273.10995","859.87775","0.504"
"253.81403","869.9387","0.49440002"
"244.8299","874.2947","0.4848"
"238.31107","878.0613","0.4848"
"234.13518","879.8356","0.4848"
"231.48239","880.938","0.4656"
