"ChallengeX","ChallengeY","Tester Name","Device Name"
"596.0","147.0","Ryan","nexus-07"
"248.0","756.0","Ryan","nexus-07"
"X","Y","PRESSURE"
"600.25","159.7576","0.13440001"
"596.7577","163.82135","0.40800002"
"592.78534","168.30347","0.42720002"
"584.2112","180.35953","0.45600003"
"572.67633","197.1618","0.4656"
"561.15894","214.62466","0.47520003"
"548.0344","234.34756","0.47040004"
"541.1875","245.21216","0.4656"
"533.8861","258.30188","0.47040004"
"515.77057","289.0628","0.4512"
"493.34833","326.92404","0.44160002"
"481.61298","348.28357","0.47520003"
"467.813","367.84778","0.45600003"
"452.15918","394.8523","0.43680003"
"436.33453","421.9489","0.42240003"
"420.24756","448.75977","0.432"
"406.33752","473.48077","0.42240003"
"390.8926","498.46997","0.4176"
"377.49664","521.71423","0.40320003"
"364.27673","546.7447","0.39360002"
"351.43332","572.7854","0.3984"
"340.51685","595.6384","0.40320003"
"327.86694","619.05554","0.4128"
"318.38757","636.2717","0.40320003"
"310.30606","651.7701","0.39360002"
"302.46164","666.16437","0.3984"
"294.37967","681.4455","0.4128"
"288.15195","693.52356","0.4128"
"283.1044","702.1865","0.4128"
"279.653","708.3992","0.4176"
"277.1805","712.9833","0.4176"
"275.41757","716.4023","0.4128"
"273.81485","718.6427","0.38880002"
