"ChallengeX","ChallengeY","Tester Name","Device Name"
"228.0","142.0","Jake","nexus-09"
"626.0","714.0","Jake","nexus-09"
"388.0","451.0","Jake","nexus-09"
"245.0","215.0","Jake","nexus-09"
"X","Y","PRESSURE"
"221.5","116.51517","0.15840001"
"220.15236","122.708374","0.62880003"
"223.40797","128.8689","0.75360006"
"231.93237","142.39813","0.79200006"
"252.83939","170.90128","0.768"
"285.9136","212.07898","0.744"
"312.99866","245.28937","0.7584"
"344.3372","280.01236","0.73920006"
"367.4375","304.39392","0.744"
"377.0372","315.46548","0.7296"
"423.42258","364.84167","0.72"
"466.869","412.3047","0.6384"
"500.78656","447.05963","0.55200005"
"520.43695","468.58386","0.51360005"
"537.22174","488.98016","0.49920002"
"548.86","509.05328","0.49920002"
"554.3604","525.0111","0.528"
"558.6886","540.5343","0.5328"
"560.4625","563.52747","0.5952"
"561.4436","575.47174","0.60480005"
"562.9395","582.7047","0.59040004"
"565.16077","590.71454","0.5856"
"568.908","600.8377","0.59040004"
"573.9869","612.24475","0.5856"
"580.1809","625.4721","0.624"
"582.82684","634.72925","0.6"
"585.90216","645.2899","0.59040004"
"588.4247","654.91376","0.59040004"
"591.1734","663.6551","0.58080006"
"593.8868","672.182","0.58080006"
"596.3636","679.1486","0.58080006"
"597.75","683.1818","0.57600003"
"599.8074","687.43286","0.5712"
"599.8652","689.8009","0.56640005"
"578.45905","679.44696","0.55200005"
"517.22406","635.10455","0.57600003"
"485.43848","606.89233","0.5952"
"469.43216","591.73816","0.60480005"
"453.87384","573.9441","0.60480005"
"439.32324","554.636","0.6"
"429.54828","542.61957","0.59040004"
"420.81348","533.0112","0.5952"
"414.4038","524.53564","0.6"
"408.42636","516.3795","0.624"
"402.48184","506.7312","0.624"
"394.77402","492.14954","0.6144"
"383.35812","469.26178","0.6096"
"369.17694","443.99542","0.60480005"
"351.55496","416.8615","0.60480005"
"324.691","375.1294","0.6144"
"308.35297","349.51343","0.6144"
"295.94235","322.86682","0.6144"
"288.09366","301.10574","0.6384"
"284.97568","280.9403","0.63360006"
"284.9966","265.86823","0.5712"
"285.5625","262.57578","0.47520003"
