"ChallengeX","ChallengeY","Tester Name","Device Name"
"105.0","407.0","Jake","nexus-09"
"587.0","254.0","Jake","nexus-09"
"X","Y","PRESSURE"
"152.75","391.27277","0.0864"
"161.30562","389.9771","0.2976"
"169.82587","388.8999","0.312"
"185.36125","386.39728","0.3264"
"211.22261","380.90228","0.3312"
"240.91293","370.88562","0.34080002"
"271.6807","359.998","0.3456"
"324.92517","342.03073","0.3456"
"360.06378","327.71378","0.34080002"
"426.67862","304.9312","0.3456"
"464.2239","291.89178","0.3456"
"490.11438","284.86108","0.34080002"
"517.2015","276.50052","0.34080002"
"547.26996","268.10046","0.33600003"
"573.9863","259.51062","0.3264"
"596.6136","252.79099","0.3264"
"612.9611","248.80756","0.3264"
"628.4043","245.76718","0.31680003"
"639.38947","243.77289","0.2928"
"654.9896","240.57706","0.22080001"
"661.5","239.15152","0.124800004"
