"ChallengeX","ChallengeY","Tester Name","Device Name"
"144.0","303.0","Ryan","nexus-09"
"101.0","810.0","Ryan","nexus-09"
"316.0","463.0","Ryan","nexus-09"
"463.0","197.0","Ryan","nexus-09"
"X","Y","PRESSURE"
"172.75","298.93942","0.124800004"
"172.75","302.31522","0.33600003"
"172.75","310.32343","0.3312"
"172.0498","339.1629","0.32160002"
"170.32533","364.8025","0.32160002"
"167.42462","389.68286","0.33600003"
"165.77287","417.5492","0.36"
"163.46399","446.0426","0.36"
"162.5911","477.03918","0.35520002"
"161.43246","519.93695","0.35520002"
"159.0635","548.1233","0.35040003"
"158.0625","556.21216","0.35040003"
"157.84113","583.637","0.35520002"
"152.33655","638.70386","0.384"
"149.70665","668.2923","0.36960003"
"145.89221","697.18427","0.36"
"143.20265","720.7778","0.35040003"
"140.87625","738.9315","0.35040003"
"138.64758","749.739","0.35520002"
"137.35289","761.193","0.37440002"
"136.1917","769.218","0.3792"
"135.02266","776.0198","0.3792"
"134.3125","779.24243","0.3792"
"134.625","783.8389","0.384"
"134.625","785.5989","0.42240003"
"138.22787","777.5611","0.432"
"152.13493","758.72455","0.42720002"
"169.80205","734.43945","0.42720002"
"196.76797","695.0668","0.4128"
"214.69699","670.7298","0.40800002"
"231.60959","644.8229","0.3984"
"259.7237","606.41223","0.3984"
"268.4547","592.7757","0.39360002"
"279.1187","574.6739","0.39360002"
"290.5625","557.4243","0.40320003"
"297.81067","545.8432","0.40800002"
"306.60553","530.2499","0.4176"
"309.89905","523.12354","0.42240003"
"312.1278","517.11304","0.42720002"
"315.61703","509.8261","0.42720002"
"321.223","497.05243","0.42720002"
"332.07596","475.40765","0.4128"
"343.91876","451.80457","0.3984"
"357.13907","426.67944","0.3984"
"371.11243","401.52844","0.40320003"
"391.37622","363.93988","0.40800002"
"411.9436","331.62448","0.42240003"
"427.55066","304.73224","0.42720002"
"447.97772","263.26788","0.44160002"
"491.86444","176.0946","0.40800002"
"494.4646","169.93433","0.38880002"
