"ChallengeX","ChallengeY","Tester Name","Device Name"
"550.0","815.0","Sean","nexus-09"
"479.0","543.0","Sean","nexus-09"
"275.0","821.0","Sean","nexus-09"
"623.0","452.0","Sean","nexus-09"
"X","Y","PRESSURE"
"565.25","836.5152","0.0864"
"562.08527","835.2876","0.47040004"
"561.0791","824.56726","0.49440002"
"559.9375","815.9092","0.5088"
"558.0231","805.8885","0.5424"
"555.05536","785.43414","0.528"
"551.72076","767.74585","0.528"
"548.5992","752.742","0.528"
"543.51306","727.67914","0.5328"
"537.3644","701.098","0.528"
"533.6875","685.6061","0.528"
"531.80096","676.21893","0.5328"
"525.9967","641.02496","0.5472"
"520.72095","595.4782","0.53760004"
"518.6427","577.9858","0.5472"
"517.65326","569.61053","0.5568"
"516.5272","553.85474","0.55200005"
"514.7423","543.8644","0.56640005"
"513.6875","537.7273","0.5856"
"511.71173","533.62823","0.60480005"
"509.9801","531.2305","0.6096"
"504.5968","529.3173","0.5952"
"500.00037","530.66235","0.5952"
"493.66858","535.0132","0.6"
"485.16083","543.1817","0.61920005"
"470.74194","562.1504","0.624"
"454.488","584.7759","0.624"
"437.3877","611.12506","0.62880003"
"410.41235","646.27997","0.61920005"
"395.5561","666.48584","0.61920005"
"372.40826","701.1813","0.6144"
"352.5097","730.7198","0.6"
"336.45035","755.9917","0.59040004"
"319.2226","781.167","0.60480005"
"304.63974","804.13776","0.6"
"293.0124","824.14325","0.5952"
"285.5625","836.51526","0.59040004"
"283.02777","843.98987","0.60480005"
"282.4375","847.42426","0.6144"
"284.53687","849.93787","0.624"
"297.2229","844.5906","0.6144"
"330.39444","824.8797","0.6"
"362.30298","803.43744","0.58080006"
"385.08826","785.93506","0.5712"
"422.17728","753.4847","0.58080006"
"457.98517","718.7822","0.58080006"
"493.964","684.6288","0.5712"
"531.5016","649.5732","0.5856"
"565.0925","612.21356","0.59040004"
"594.8789","578.6439","0.58080006"
"611.73505","559.12335","0.5856"
"628.77716","538.1078","0.58080006"
"643.742","518.72644","0.5712"
"653.5692","507.00897","0.5472"
"660.26404","499.52954","0.5424"
"667.59033","486.63043","0.5184"
"673.648","473.2968","0.33600003"
"681.5","457.12122","0.192"
