"ChallengeX","ChallengeY","Tester Name","Device Name"
"634.0","560.0","tim","nexus7"
"360.0","281.0","tim","nexus7"
"178.0","102.0","tim","nexus7"
"649.0","664.0","tim","nexus7"
"X","Y","PRESSURE"
"665.3214","589.1429","0.1536"
"658.77246","580.2844","0.4848"
"653.8125","574.6658","0.4512"
"647.16327","567.329","0.432"
"643.9264","562.3287","0.43680003"
"638.08936","553.5714","0.4512"
"626.6503","538.6977","0.45600003"
"612.62634","523.1271","0.4176"
"601.30005","510.23785","0.39360002"
"594.6508","503.29907","0.3984"
"584.0637","491.99017","0.4176"
"566.9537","473.3601","0.384"
"550.70886","455.56635","0.35520002"
"538.9248","443.80212","0.3792"
"523.6105","427.31787","0.3792"
"510.651","411.0548","0.36960003"
"495.805","395.54993","0.36"
"489.65613","388.02008","0.36960003"
"476.4342","370.4546","0.38880002"
"460.39346","351.3722","0.37440002"
"443.402","331.82452","0.40800002"
"424.09238","309.75836","0.4128"
"412.923","298.8404","0.384"
"394.27063","281.79126","0.38880002"
"367.90778","256.32327","0.40320003"
"353.6015","244.2847","0.39360002"
"337.33813","232.17111","0.37440002"
"310.92554","210.43054","0.40800002"
"293.115","195.67072","0.3984"
"279.26648","185.72748","0.38880002"
"266.40598","176.03531","0.38880002"
"249.63168","164.09451","0.36"
"236.73837","151.98886","0.4128"
"228.03671","144.80072","0.40800002"
"218.49893","137.05042","0.38880002"
"209.30641","129.08273","0.384"
"201.1848","123.821655","0.3312"
"194.33907","119.99985","0.36960003"
"189.82814","116.62036","0.38880002"
"185.82974","114.70111","0.3984"
"182.60992","112.88269","0.40800002"
"180.94643","111.285706","0.432"
"179.58588","109.97958","0.44640002"
"177.65224","110.0","0.47520003"
"176.48215","110.0","0.47520003"
"177.31665","112.45941","0.4848"
"179.90239","116.85373","0.47040004"
"188.2693","128.84195","0.42240003"
"206.6782","151.79382","0.40320003"
"228.26785","179.0","0.36960003"
"243.33395","196.98364","0.39360002"
"277.44876","231.3565","0.36960003"
"299.38254","254.39569","0.432"
"324.2542","280.1855","0.42720002"
"348.6226","303.71173","0.42240003"
"364.22128","320.89966","0.43680003"
"386.82492","344.76245","0.42720002"
"413.93326","376.54645","0.44160002"
"421.1919","386.18744","0.42720002"
"438.87787","408.11578","0.4176"
"455.38086","428.37842","0.42240003"
"473.156","450.6631","0.3984"
"491.30792","471.10803","0.40320003"
"504.08002","487.89673","0.40320003"
"520.61676","505.8012","0.3792"
"529.6071","518.0","0.37440002"
"534.98785","524.02826","0.3984"
"550.9822","541.8115","0.4128"
"563.0771","556.81226","0.39360002"
"572.70483","569.1914","0.37440002"
"582.6849","580.0975","0.36960003"
"591.4087","588.4724","0.36960003"
"600.08295","596.7996","0.42720002"
"604.46027","601.00195","0.44640002"
"611.8562","608.102","0.44160002"
"620.1154","616.03076","0.4176"
"625.4158","622.10736","0.3984"
"629.74536","628.3419","0.39360002"
"634.1557","632.93805","0.384"
"637.5948","637.0967","0.38880002"
"641.21423","640.5714","0.38880002"
"642.2228","643.365","0.40800002"
"644.9896","646.7672","0.37440002"
"646.5714","648.2857","0.24960001"
