"ChallengeX","ChallengeY","Tester Name","Device Name"
"287.0","592.0","tim","nexus7"
"274.0","724.0","tim","nexus7"
"356.0","105.0","tim","nexus7"
"454.0","391.0","tim","nexus7"
"X","Y","PRESSURE"
"271.5714","541.1429","0.1536"
"270.67856","553.6153","0.5568"
"270.67856","557.8571","0.5424"
"269.7857","562.80035","0.49440002"
"268.86896","570.4003","0.48000002"
"267.37918","578.7433","0.48000002"
"267.10715","591.5407","0.45600003"
"265.3299","617.331","0.42240003"
"265.3214","632.8572","0.4128"
"262.50095","656.45685","0.38880002"
"259.1592","682.2485","0.37440002"
"257.2857","705.80304","0.34080002"
"257.2857","721.7762","0.31680003"
"256.39285","733.3574","0.30240002"
"255.5","742.26166","0.33600003"
"254.60715","749.2662","0.384"
"254.60715","752.6609","0.4176"
"254.60715","755.64417","0.4848"
"254.60715","756.71423","0.47040004"
"254.60715","752.81134","0.43680003"
"255.44647","745.39984","0.3984"
"257.83322","729.92035","0.40320003"
"262.64285","693.2857","0.36960003"
"263.8861","674.73755","0.38880002"
"269.25995","604.32355","0.36960003"
"274.58047","552.8199","0.37440002"
"277.99817","498.32904","0.384"
"284.6671","457.13654","0.384"
"286.90866","409.92535","0.3792"
"291.79218","363.6458","0.36"
"296.22806","338.09857","0.37440002"
"305.83774","298.23975","0.39360002"
"315.71005","259.36475","0.38880002"
"322.3539","233.88776","0.384"
"326.10626","208.30054","0.40800002"
"329.3106","187.70612","0.38880002"
"331.39285","164.08298","0.42720002"
"331.39285","142.14288","0.38880002"
"332.2857","138.19653","0.37440002"
"334.19382","128.26962","0.38880002"
"335.85715","119.66995","0.40800002"
"336.75","114.36575","0.42240003"
"335.85715","110.54932","0.44160002"
"335.85715","108.61807","0.4512"
"335.85715","106.60721","0.47040004"
"337.1964","105.285706","0.4848"
"337.4895","107.28137","0.49920002"
"338.818","109.41385","0.5184"
"340.07126","112.9483","0.5472"
"342.11566","116.873474","0.52320004"
"345.5997","124.81076","0.48000002"
"349.8905","136.70181","0.4656"
"353.7463","144.34714","0.47520003"
"365.52905","168.68436","0.44640002"
"378.03006","194.13785","0.47520003"
"388.34396","217.27951","0.46080002"
"394.743","233.60498","0.44160002"
"403.17496","251.33514","0.44640002"
"414.07785","273.89807","0.42240003"
"420.23212","288.28577","0.3984"
"424.74896","298.83197","0.42240003"
"432.60434","321.26978","0.42240003"
"439.7647","339.7177","0.3984"
"444.90955","351.0949","0.40800002"
"448.28198","359.99707","0.4128"
"452.36636","368.4038","0.44160002"
"454.45914","373.71582","0.4176"
"456.2867","375.61237","0.3984"
"456.39285","375.7143","0.3648"
