"ChallengeX","ChallengeY","Tester Name","Device Name"
"287.0","592.0","tim","nexus-59"
"274.0","724.0","tim","nexus-59"
"356.0","105.0","tim","nexus-59"
"454.0","391.0","tim","nexus-59"
"X","Y","PRESSURE","SIZE","TIME"
"304.60715","600.2857","0.115200005","0.41935483","0"
"302.10327","611.09314","0.3648","0.38709676","82"
"301.10345","613.0128","0.36960003","0.38709676","98"
"300.14285","617.43225","0.36960003","0.38709676","114"
"298.9923","623.3136","0.35520002","0.38709676","130"
"296.5714","631.6788","0.36","0.38709676","153"
"295.0094","637.99817","0.3648","0.38709676","170"
"293.89285","647.9082","0.33600003","0.3548387","187"
"292.52417","661.31213","0.35520002","0.3548387","204"
"290.76788","671.4286","0.35040003","0.3548387","219"
"289.38254","678.5066","0.3648","0.3548387","238"
"287.2282","694.3274","0.37440002","0.3548387","255"
"284.10794","707.34094","0.36960003","0.3548387","271"
"281.94562","717.30597","0.33600003","0.3548387","288"
"279.77292","725.6491","0.3312","0.3548387","305"
"278.7143","731.92816","0.32160002","0.3548387","322"
"277.23154","735.9897","0.31680003","0.3548387","339"
"276.92856","738.1945","0.31680003","0.3548387","356"
"276.0357","740.26935","0.3072","0.3548387","373"
"276.0357","740.06104","0.32160002","0.3548387","390"
"276.0357","737.6982","0.3312","0.3548387","407"
"277.589","732.95514","0.33600003","0.3548387","423"
"281.87854","713.1224","0.34080002","0.3548387","440"
"290.25247","687.2007","0.33600003","0.3548387","457"
"297.46426","663.28577","0.3456","0.3548387","472"
"305.7396","632.94763","0.34080002","0.3548387","491"
"317.03723","588.1144","0.36","0.3548387","508"
"327.35794","543.3675","0.40800002","0.3548387","525"
"332.36896","511.1283","0.4128","0.3548387","542"
"337.9011","474.51257","0.40800002","0.3548387","559"
"342.02185","438.9135","0.42240003","0.3548387","576"
"345.9459","399.55","0.4128","0.3548387","592"
"347.95804","377.1657","0.4128","0.3548387","609"
"350.14706","355.537","0.4128","0.3548387","626"
"354.51","306.5476","0.40320003","0.3548387","643"
"358.48758","263.29733","0.3984","0.3548387","660"
"361.2369","238.34451","0.39360002","0.3548387","677"
"363.51544","213.11014","0.3984","0.3548387","694"
"366.51132","189.72119","0.39360002","0.3548387","711"
"369.12085","165.25815","0.40800002","0.3548387","728"
"370.61243","152.69836","0.37440002","0.3548387","745"
"370.67856","137.74887","0.3792","0.3548387","762"
"371.5714","123.58383","0.39360002","0.3548387","779"
"372.05112","109.34796","0.4128","0.3548387","796"
"372.4643","99.898224","0.384","0.3548387","813"
"372.4643","94.95865","0.40320003","0.3548387","830"
"372.4643","91.098114","0.42240003","0.3548387","846"
"372.4643","88.365906","0.43680003","0.3548387","863"
"372.4643","87.285706","0.44160002","0.3548387","873"
"374.22134","89.40109","0.44160002","0.3548387","914"
"376.0744","93.825775","0.46080002","0.3548387","931"
"383.43103","109.62756","0.44160002","0.3548387","948"
"396.17654","140.50189","0.42240003","0.3548387","965"
"407.74152","174.18188","0.3648","0.3548387","982"
"419.1895","210.28296","0.36","0.3548387","999"
"425.94354","230.5917","0.3648","0.3548387","1016"
"434.98276","255.59961","0.3984","0.3548387","1032"
"447.87704","294.68335","0.38880002","0.3548387","1049"
"453.6608","318.08038","0.40800002","0.3548387","1066"
"458.87457","334.92462","0.38880002","0.3548387","1083"
"463.11716","346.85266","0.38880002","0.3548387","1100"
"465.974","355.93445","0.3984","0.3548387","1117"
"470.04855","364.21893","0.384","0.3548387","1134"
"471.1069","367.96533","0.35040003","0.3548387","1151"
"471.5714","368.85718","0.264","0.32258064","1154"
