"ChallengeX","ChallengeY","Tester Name","Device Name"
"508.0","672.0","lou","nexus-80"
"340.0","367.0","lou","nexus-80"
"439.0","650.0","lou","nexus-80"
"106.0","619.0","lou","nexus-80"
"X","Y","PRESSURE","SIZE","TIME"
"502.8214","646.8572","0.16800001","0.41935483","0"
"489.76544","627.55786","0.5712","0.48387095","150"
"479.81424","605.5058","0.6144","0.48387095","164"
"470.2776","582.2563","0.648","0.48387095","179"
"459.88696","561.43536","0.65760005","0.48387095","193"
"438.74252","524.871","0.65760005","0.58064514","218"
"424.91537","499.849","0.68640006","0.58064514","235"
"413.0893","479.71436","0.6912","0.58064514","248"
"404.167","463.56134","0.68160003","0.58064514","268"
"380.08667","426.87177","0.67200005","0.58064514","285"
"360.8014","397.77686","0.70080006","0.58064514","301"
"349.7374","383.93292","0.72","0.58064514","318"
"338.8897","369.9615","0.7152","0.61290324","335"
"328.97607","357.44446","0.72","0.6774193","352"
"321.03967","347.2038","0.72480005","0.7419355","368"
"318.38382","343.98126","0.7296","0.7419355","384"
"315.45612","340.9865","0.7296","0.7419355","401"
"313.5357","341.15784","0.72480005","0.7096774","417"
"313.5357","343.19794","0.7152","0.6451613","434"
"315.48303","347.16748","0.7056","0.61290324","451"
"319.5922","355.40466","0.7056","0.61290324","467"
"326.94687","369.17804","0.6768","0.6451613","484"
"342.44324","395.94617","0.65760005","0.7096774","501"
"350.86847","410.32013","0.6528","0.6774193","517"
"374.6222","454.66467","0.6672","0.61290324","534"
"390.23615","484.69342","0.68160003","0.6451613","551"
"403.32205","510.67548","0.6672","0.6451613","567"
"416.48495","534.905","0.6624","0.61290324","584"
"426.3539","556.1578","0.6672","0.61290324","601"
"435.6362","575.2194","0.68160003","0.61290324","617"
"439.875","584.7143","0.68160003","0.61290324","629"
"442.8959","593.41455","0.68160003","0.61290324","651"
"447.1995","604.2217","0.67200005","0.61290324","667"
"449.45825","612.514","0.65760005","0.61290324","684"
"451.60754","618.504","0.65760005","0.61290324","701"
"451.92856","622.92584","0.67200005","0.61290324","717"
"451.92856","627.01636","0.68640006","0.61290324","734"
"451.92856","631.05133","0.6912","0.61290324","751"
"451.0426","633.12964","0.6912","0.61290324","767"
"448.01376","635.02203","0.68160003","0.6451613","784"
"441.83444","637.0654","0.67200005","0.7096774","801"
"431.62204","639.0989","0.68160003","0.6451613","817"
"413.65616","640.0","0.65760005","0.61290324","834"
"381.67786","640.8572","0.68640006","0.61290324","851"
"333.42996","639.0759","0.70080006","0.61290324","867"
"302.37497","637.0","0.6912","0.6451613","883"
"287.0976","636.0222","0.7056","0.61290324","901"
"236.04456","628.97906","0.7152","0.61290324","917"
"194.41118","621.1918","0.69600004","0.61290324","934"
"168.52608","615.4834","0.6672","0.61290324","951"
"141.49797","610.35547","0.62880003","0.61290324","967"
"124.64993","608.2181","0.44160002","0.6451613","984"
"111.15495","608.51434","0.26880002","0.516129","1001"
"109.96428","608.2857","0.20160002","0.4516129","1002"
