"ChallengeX","ChallengeY","Tester Name","Device Name"
"461.0","576.0","lyle","nexus-80"
"516.0","278.0","lyle","nexus-80"
"191.0","503.0","lyle","nexus-80"
"627.0","704.0","lyle","nexus-80"
"X","Y","PRESSURE","SIZE","TIME"
"475.14285","586.8572","0.2976","0.41935483","0"
"474.25","577.75903","0.73920006","0.41935483","79"
"474.25","575.9621","0.76320004","0.41935483","94"
"474.25","572.5739","0.77760005","0.48387095","108"
"474.25","568.22284","0.7824","0.54838705","123"
"475.62436","561.798","0.78720003","0.58064514","134"
"477.7768","547.7711","0.78720003","0.58064514","151"
"480.5","532.0","0.79200006","0.6451613","163"
"483.13635","509.9978","0.78720003","0.6451613","184"
"485.71008","481.6906","0.77760005","0.6451613","201"
"488.99133","455.66125","0.78720003","0.61290324","217"
"493.05145","432.2749","0.7968","0.61290324","234"
"499.10284","407.42218","0.7968","0.61290324","251"
"505.628","383.54932","0.80160004","0.61290324","267"
"510.7727","360.8957","0.78720003","0.6774193","284"
"513.3583","348.65112","0.7824","0.6451613","301"
"517.2696","333.3761","0.77760005","0.61290324","317"
"521.8939","317.88068","0.7728","0.6451613","334"
"523.90247","308.76318","0.77760005","0.7096774","351"
"526.11926","300.2506","0.768","0.7419355","367"
"528.17584","293.55066","0.768","0.7419355","384"
"528.7143","287.56464","0.7728","0.7419355","401"
"528.7143","283.2234","0.76320004","0.7419355","417"
"528.7143","281.2719","0.7728","0.7419355","434"
"528.7143","278.62924","0.78720003","0.7419355","451"
"528.7143","277.00003","0.80640006","0.7419355","464"
"527.48785","277.7488","0.8112","0.7096774","484"
"524.95154","280.18365","0.82080007","0.6451613","500"
"518.68506","285.34235","0.80640006","0.6451613","517"
"507.90063","294.83832","0.7824","0.7096774","534"
"488.98206","310.42853","0.79200006","0.6451613","547"
"474.22214","320.30518","0.7968","0.61290324","567"
"437.16382","340.85248","0.8112","0.6451613","584"
"409.2316","357.6684","0.80160004","0.7096774","600"
"386.76486","372.04718","0.7968","0.61290324","617"
"365.95145","384.0857","0.8352","0.61290324","634"
"345.11932","397.4615","0.8496","0.6451613","650"
"328.05243","410.45117","0.84480006","0.6774193","667"
"315.05698","419.80627","0.8352","0.6451613","684"
"300.7219","429.79742","0.80640006","0.61290324","700"
"280.49054","445.2644","0.79200006","0.6774193","717"
"266.58344","455.94507","0.79200006","0.6774193","734"
"253.09726","465.1986","0.80160004","0.61290324","750"
"241.419","474.2428","0.8112","0.7096774","767"
"232.98392","480.28302","0.81600004","0.6451613","784"
"225.96158","484.9046","0.8112","0.61290324","800"
"223.14407","486.70776","0.8112","0.61290324","817"
"218.75998","490.98468","0.80640006","0.61290324","833"
"214.49213","495.08185","0.80640006","0.61290324","850"
"210.35255","499.05585","0.80640006","0.61290324","867"
"207.55966","503.1883","0.80640006","0.61290324","883"
"205.47118","507.19824","0.80160004","0.6774193","900"
"203.34845","511.2738","0.80640006","0.7419355","917"
"201.48215","514.8572","0.81600004","0.7419355","931"
"201.0357","517.4005","0.82080007","0.7419355","950"
"201.3232","521.6851","0.81600004","0.7096774","967"
"205.60419","528.41907","0.81600004","0.6451613","983"
"213.85857","535.6766","0.79200006","0.61290324","1000"
"233.03055","547.23114","0.80160004","0.61290324","1017"
"272.41846","563.3538","0.82080007","0.6451613","1033"
"315.18723","580.1713","0.81600004","0.7419355","1050"
"331.65704","587.70056","0.82080007","0.7741935","1067"
"371.35614","602.26575","0.8256","0.7096774","1083"
"426.69495","624.3972","0.8352","0.7419355","1100"
"473.8304","644.5495","0.8352","0.6774193","1117"
"518.63336","662.11725","0.84000003","0.61290324","1133"
"564.1669","677.63055","0.7968","0.61290324","1150"
"603.1953","688.2423","0.78720003","0.6774193","1166"
"631.17236","696.5063","0.768","0.6774193","1183"
"643.6674","701.10364","0.73440003","0.61290324","1200"
"653.7143","705.1429","0.648","0.61290324","1207"
