"ChallengeX","ChallengeY","Tester Name","Device Name"
"461.0","576.0","maggie","nexus-80"
"516.0","278.0","maggie","nexus-80"
"191.0","503.0","maggie","nexus-80"
"627.0","704.0","maggie","nexus-80"
"X","Y","PRESSURE","SIZE","TIME"
"466.2143","545.7143","0.2592","0.41935483","0"
"469.79276","516.5398","0.5472","0.4516129","53"
"482.96234","460.18085","0.5568","0.4516129","75"
"486.85046","444.4392","0.56640005","0.4516129","92"
"491.54797","409.97388","0.5616","0.4516129","109"
"495.81958","363.72955","0.5616","0.4516129","125"
"495.15405","344.6931","0.5712","0.4516129","142"
"492.15845","335.7882","0.5856","0.4516129","159"
"484.94714","332.7967","0.5952","0.4516129","175"
"461.58118","334.67456","0.5856","0.48387095","192"
"409.5176","349.4115","0.61920005","0.48387095","209"
"377.70114","364.41162","0.624","0.48387095","226"
"307.3526","405.8371","0.6384","0.48387095","241"
"247.31387","449.1203","0.62880003","0.516129","258"
"207.97246","483.85883","0.6624","0.516129","275"
"190.1886","509.60455","0.6624","0.516129","291"
"189.57268","524.3969","0.6768","0.516129","308"
"211.82661","550.23395","0.648","0.54838705","324"
"251.0357","574.0","0.6","0.54838705","337"
"299.1175","591.642","0.5856","0.54838705","358"
"449.3789","639.504","0.504","0.54838705","374"
"524.4154","670.2117","0.33600003","0.48387095","391"
"587.13354","701.7807","0.24960001","0.4516129","408"
"608.1786","721.4286","0.1536","0.38709676","416"
