"ChallengeX","ChallengeY","Tester Name","Device Name"
"473.0","223.0","Jake ","nexus-03"
"434.0","366.0","Jake ","nexus-03"
"234.0","717.0","Jake ","nexus-03"
"261.0","322.0","Jake ","nexus-03"
"X","Y","PRESSURE"
"485.25","195.90909","0.124800004"
"483.8171","200.07755","0.5472"
"482.26978","203.73999","0.57600003"
"477.5571","211.4437","0.59040004"
"471.89572","219.41635","0.5952"
"465.43857","230.52338","0.59040004"
"458.02945","246.38794","0.59040004"
"449.52884","266.1422","0.6096"
"441.82504","285.26657","0.6096"
"435.31097","300.91284","0.5952"
"426.15482","321.94266","0.59040004"
"418.6982","337.7065","0.6"
"412.73682","347.4447","0.6096"
"408.7394","354.59628","0.61920005"
"406.35995","360.18805","0.6384"
"404.98788","365.6648","0.624"
"404.3125","368.9394","0.61920005"
"402.83023","373.51563","0.6144"
"401.58224","376.8819","0.6096"
"398.33835","384.27484","0.62880003"
"394.0234","392.22736","0.6384"
"388.66696","402.6156","0.62880003"
"381.72205","419.31024","0.6096"
"373.2604","439.05164","0.6"
"363.73233","461.10358","0.60480005"
"353.58395","479.43414","0.6096"
"339.94388","501.75","0.61920005"
"327.73444","522.38007","0.6144"
"319.10062","536.4959","0.6144"
"308.8013","557.50305","0.6144"
"302.51578","574.16626","0.6096"
"296.88397","590.54974","0.60480005"
"289.91962","606.35364","0.624"
"281.93646","620.03204","0.61920005"
"275.3049","632.95306","0.6144"
"267.7545","647.1118","0.61920005"
"261.11197","660.29803","0.6096"
"256.31097","670.9128","0.6144"
"252.16458","680.6553","0.6144"
"248.78564","689.86597","0.624"
"246.5","696.51526","0.64320004"
"244.90933","699.7102","0.6528"
"242.82938","702.85156","0.65760005"
"244.90082","680.1925","0.62880003"
"249.07614","633.0349","0.61920005"
"254.90509","584.428","0.6096"
"258.73193","537.4914","0.6096"
"261.0888","505.31915","0.6"
"265.81412","451.7691","0.59040004"
"269.53027","404.6394","0.5856"
"270.3045","378.72473","0.57600003"
"270.875","350.88855","0.5712"
"271.32745","326.69562","0.5568"
"271.84213","309.61862","0.53760004"
"273.8656","302.3607","0.47040004"
