"ChallengeX","ChallengeY","Tester Name","Device Name"
"253.0","779.0","Ryan","nexus-06"
"553.0","161.0","Ryan","nexus-06"
"643.0","787.0","Ryan","nexus-06"
"218.0","409.0","Ryan","nexus-06"
"635.0","517.0","Ryan","nexus-06"
"634.0","686.0","Ryan","nexus-06"
"209.0","893.0","Ryan","nexus-06"
"X","Y","PRESSURE"
"247.75","786.81824","0.120000005"
"259.54428","755.24634","0.47040004"
"272.5724","727.6887","0.48000002"
"289.1859","693.8581","0.4848"
"304.29175","665.1312","0.4848"
"312.125","651.36365","0.4848"
"330.796","614.6724","0.4848"
"361.39905","553.42993","0.47040004"
"382.67892","506.5169","0.46080002"
"398.9106","476.81842","0.47040004"
"415.65143","437.80554","0.4656"
"435.0477","400.28467","0.4656"
"451.30704","366.58636","0.45600003"
"472.04593","326.36545","0.46080002"
"483.47522","305.39407","0.46080002"
"494.91815","278.8348","0.45600003"
"509.06573","253.56998","0.44640002"
"521.55817","229.12958","0.432"
"532.2753","206.83096","0.42720002"
"543.8409","185.30856","0.42720002"
"549.3","176.46063","0.432"
"554.2163","169.83923","0.44160002"
"557.62537","165.41168","0.4512"
"559.7867","162.47745","0.47040004"
"560.96545","161.254","0.504"
"566.87","168.7479","0.47520003"
"571.2","179.80618","0.43680003"
"577.56055","206.02216","0.42240003"
"581.6332","235.41211","0.40320003"
"583.0625","247.42426","0.3984"
"585.3471","270.80765","0.384"
"589.0601","326.539","0.37440002"
"595.403","377.5401","0.3648"
"598.24133","409.63513","0.35520002"
"601.47125","438.68878","0.35040003"
"604.53455","475.83154","0.34080002"
"609.00836","521.5984","0.34080002"
"610.9267","540.6529","0.33600003"
"613.5182","570.1805","0.33600003"
"618.49854","608.6187","0.3456"
"621.6663","633.1458","0.3456"
"625.8377","652.87665","0.34080002"
"632.84106","677.41565","0.3456"
"638.9185","698.2456","0.34080002"
"644.9283","717.39746","0.3312"
"648.6645","728.2665","0.3264"
"651.01135","737.1101","0.3264"
"653.8928","747.56256","0.3264"
"655.0619","753.78503","0.33600003"
"655.25","757.8768","0.3456"
"655.25","760.77423","0.38880002"
"652.342","762.46436","0.4848"
"648.055","761.3608","0.49440002"
"637.6161","756.05865","0.49920002"
"613.9791","740.59344","0.49920002"
"594.625","725.90906","0.504"
"588.074","720.52136","0.504"
"545.72266","692.3983","0.504"
"505.10645","664.71466","0.51360005"
"480.28055","647.0011","0.5184"
"457.57077","631.5482","0.5184"
"432.46478","613.8218","0.52320004"
"400.831","587.8902","0.5088"
"366.8027","561.4573","0.504"
"346.06815","545.8191","0.5088"
"321.6587","527.64276","0.5088"
"301.2955","509.13452","0.51360005"
"280.59192","489.57397","0.5184"
"259.8806","471.6521","0.51360005"
"239.75867","451.19025","0.51360005"
"222.65297","434.97906","0.51360005"
"213.1401","425.30237","0.504"
"206.63339","417.67615","0.49920002"
"204.0","413.48486","0.504"
"200.74728","409.19025","0.51360005"
"201.31897","407.1526","0.53760004"
"206.02812","407.403","0.55200005"
"218.57852","410.50012","0.52320004"
"247.92886","414.7317","0.5328"
"275.95987","419.1761","0.5184"
"306.02826","424.33167","0.504"
"362.8916","429.77527","0.48000002"
"421.37823","438.47748","0.48000002"
"463.39914","447.0771","0.48000002"
"491.1488","452.5103","0.47520003"
"520.70807","458.32074","0.4656"
"564.02826","467.29358","0.46080002"
"583.0345","471.6117","0.46080002"
"597.7572","476.82068","0.4656"
"612.191","482.83838","0.47520003"
"622.94403","487.5183","0.48000002"
"628.9793","490.68494","0.4848"
"632.9462","493.36108","0.48960003"
"635.8119","495.34595","0.48960003"
"638.4725","501.03003","0.49920002"
"639.82764","504.1809","0.47520003"
"641.85095","511.4756","0.46080002"
"643.10126","517.9527","0.44160002"
"643.375","526.90784","0.4128"
"644.0351","548.8478","0.384"
"645.1799","575.42126","0.3792"
"645.25","600.4433","0.3648"
"645.25","625.36","0.36"
"645.25","648.0761","0.36960003"
"645.25","659.4826","0.3648"
"645.25","675.7864","0.3648"
"645.25","688.5626","0.36"
"645.25","694.09094","0.36"
"643.7879","702.3919","0.3648"
"640.4672","710.389","0.3984"
"635.316","717.1657","0.432"
"627.9021","722.47046","0.44640002"
"618.23395","727.87213","0.4656"
"598.51794","736.8774","0.47520003"
"573.04254","746.59045","0.4848"
"542.78033","759.33704","0.49440002"
"496.87164","778.4562","0.5088"
"468.7222","791.2382","0.504"
"441.92618","801.73236","0.504"
"401.63196","819.8083","0.49920002"
"371.5409","833.469","0.4848"
"349.9474","842.1571","0.47520003"
"316.45856","860.8787","0.48000002"
"291.023","872.2113","0.48960003"
"270.48746","881.1504","0.4848"
"256.3521","886.87964","0.48960003"
"242.00372","893.5437","0.48960003"
"233.1821","897.9917","0.48960003"
"228.61908","900.276","0.48000002"
"225.76813","901.8557","0.40320003"
