"ChallengeX","ChallengeY","Tester Name","Device Name"
"596.0","147.0","Ryan","nexus-06"
"248.0","756.0","Ryan","nexus-06"
"X","Y","PRESSURE"
"611.5","148.63638","0.15840001"
"596.1038","167.0752","0.48000002"
"581.8646","183.81894","0.49920002"
"568.8196","200.32065","0.5184"
"554.9581","217.275","0.52320004"
"540.6875","237.69696","0.51360005"
"526.0506","261.6899","0.51360005"
"511.094","287.57968","0.51360005"
"495.42194","313.53778","0.49440002"
"479.2137","340.3442","0.4848"
"462.43976","368.8346","0.48960003"
"441.66623","410.177","0.4848"
"430.17447","434.0788","0.48000002"
"418.0625","460.45453","0.47040004"
"390.0876","516.5896","0.46080002"
"362.9988","568.67004","0.44640002"
"348.865","598.6071","0.44160002"
"334.5487","624.14374","0.44160002"
"318.44385","651.59076","0.44640002"
"304.21957","678.0699","0.44160002"
"292.6804","701.4986","0.4512"
"281.7496","719.72125","0.45600003"
"276.07205","730.0724","0.4656"
"270.81992","739.65234","0.46080002"
"267.1712","746.7286","0.4512"
"263.8178","751.9611","0.40800002"
"262.125","756.21216","0.35520002"
