"ChallengeX","ChallengeY","Tester Name","Device Name"
"538.0","368.0","Jake","nexus-08"
"561.0","455.0","Jake","nexus-08"
"233.0","607.0","Jake","nexus-08"
"440.0","833.0","Jake","nexus-08"
"X","Y","PRESSURE"
"529.0","372.27277","0.14400001"
"526.913","375.64557","0.59040004"
"531.9887","381.956","0.6672"
"539.02386","391.0904","0.69600004"
"547.5449","404.2262","0.69600004"
"553.0365","414.7854","0.7056"
"556.6789","424.04858","0.72"
"558.6875","427.42426","0.7056"
"559.5338","431.66016","0.7296"
"559.0","433.97717","0.744"
"559.0","437.54828","0.75360006"
"555.207","440.19324","0.7824"
"548.5346","443.40753","0.75360006"
"537.7002","447.9494","0.7584"
"510.03876","461.46606","0.76320004"
"485.41135","472.51062","0.7728"
"459.23108","483.53918","0.744"
"433.3985","496.6087","0.74880004"
"408.5804","510.0871","0.768"
"383.2198","524.97876","0.76320004"
"360.4873","538.98804","0.768"
"339.1729","554.3094","0.80640006"
"320.83246","568.8214","0.84000003"
"307.0369","578.3883","0.8352"
"289.3125","588.3333","0.8256"
"283.84818","591.75665","0.82080007"
"266.041","602.31964","0.81600004"
"248.97076","613.33246","0.91200006"
"239.95892","617.15564","0.89280003"
"234.40869","620.2774","0.864"
"227.69345","624.06323","0.85440004"
"225.77875","625.17725","0.8496"
"224.15","628.0","0.86880004"
"226.81985","630.9715","0.93600005"
"242.82562","636.1133","0.89760005"
"278.47156","652.428","0.90720004"
"311.6595","670.0597","0.89760005"
"336.82767","687.511","0.864"
"377.30307","718.47986","0.7968"
"400.0189","737.46313","0.7584"
"426.99847","763.1282","0.71040004"
"443.44574","778.80145","0.67200005"
"459.58612","794.74963","0.62880003"
"470.27567","808.6663","0.48960003"
"478.92453","818.84796","0.37440002"
"489.625","830.4546","0.216"
