"ChallengeX","ChallengeY","Tester Name","Device Name"
"596.0","147.0","Jake","nexus-09"
"248.0","756.0","Jake","nexus-09"
"X","Y","PRESSURE"
"591.5","170.06061","0.0816"
"578.9375","184.77777","0.264"
"561.2712","204.90277","0.3072"
"546.0082","225.68625","0.3264"
"531.1275","248.52203","0.3312"
"516.27673","272.68137","0.3312"
"502.4973","299.78342","0.34080002"
"486.67014","326.2319","0.34080002"
"462.3407","373.5468","0.35040003"
"448.1176","401.51642","0.35040003"
"421.63242","448.69568","0.35520002"
"396.14502","492.31177","0.3456"
"376.80756","532.88184","0.34080002"
"361.54956","561.7317","0.3264"
"332.98923","612.3003","0.3264"
"310.7858","645.8776","0.3264"
"304.625","655.21216","0.3312"
"280.8111","690.4443","0.3312"
"250.63763","735.55743","0.3264"
"238.33801","754.73126","0.32160002"
"233.31471","764.88916","0.31680003"
"232.04208","770.46265","0.3072"
"232.125","774.6061","0.2928"
