"ChallengeX","ChallengeY","Tester Name","Device Name"
"282.0","639.0","Ryan","nexus-09"
"437.0","363.0","Ryan","nexus-09"
"496.0","128.0","Ryan","nexus-09"
"639.0","661.0","Ryan","nexus-09"
"X","Y","PRESSURE"
"290.25","652.27277","0.10560001"
"293.0293","642.0341","0.43680003"
"299.6486","627.98456","0.44640002"
"309.74243","607.67","0.4656"
"324.01773","582.5463","0.45600003"
"342.0465","556.6538","0.4512"
"366.60474","515.96875","0.44640002"
"383.25812","490.27014","0.44160002"
"399.81906","466.16602","0.45600003"
"416.89087","444.4856","0.46080002"
"429.95322","423.43237","0.46080002"
"437.47195","409.78168","0.46080002"
"441.69183","401.41168","0.47520003"
"445.94498","392.13702","0.48000002"
"446.55237","384.64453","0.47520003"
"448.19315","373.8487","0.48000002"
"449.79785","359.36505","0.47520003"
"451.76404","345.5639","0.47520003"
"452.8719","333.39682","0.47040004"
"457.05304","311.44434","0.4656"
"463.52078","286.95172","0.4656"
"469.70413","263.102","0.47040004"
"476.3363","239.19199","0.4656"
"483.8068","216.47116","0.46080002"
"491.09503","194.59186","0.44640002"
"497.04987","175.59442","0.44160002"
"503.82526","152.34445","0.432"
"509.0395","137.89621","0.432"
"511.2777","133.10446","0.43680003"
"513.1997","129.84299","0.44160002"
"514.80634","127.33316","0.4512"
"517.6698","130.77151","0.47520003"
"521.74475","140.37607","0.4512"
"527.7806","155.3771","0.43680003"
"534.28876","174.27875","0.432"
"540.49115","196.31134","0.40800002"
"547.7292","226.29602","0.40320003"
"558.54504","267.83353","0.38880002"
"563.4781","295.82272","0.3792"
"568.5201","326.03033","0.3792"
"575.4449","355.63406","0.384"
"583.4436","384.92145","0.384"
"591.0209","416.16516","0.36960003"
"602.179","457.70697","0.35040003"
"609.4604","483.19507","0.3456"
"619.57104","513.5126","0.3456"
"630.3205","545.3537","0.3792"
"633.28644","560.5023","0.40320003"
"637.453","577.21155","0.4128"
"639.82227","585.06354","0.40320003"
"642.05676","596.1511","0.4176"
"643.0625","601.9697","0.3984"
"643.54297","606.3031","0.3984"
"644.09973","609.2167","0.40320003"
"644.0","611.84705","0.40320003"
