"ChallengeX","ChallengeY","Tester Name","Device Name"
"497.0","318.0","Sean","nexus-09"
"117.0","446.0","Sean","nexus-09"
"167.0","344.0","Sean","nexus-09"
"628.0","806.0","Sean","nexus-09"
"X","Y","PRESSURE"
"518.375","320.15152","0.124800004"
"514.0597","322.94125","0.44160002"
"504.22784","326.74454","0.5328"
"493.2301","331.7369","0.57600003"
"479.03745","338.92126","0.6"
"462.9431","346.01602","0.6096"
"438.52347","354.8309","0.6096"
"413.7721","363.81317","0.61920005"
"387.9704","375.05206","0.6096"
"359.93103","385.8302","0.6144"
"330.55386","397.25897","0.6384"
"294.4942","411.41504","0.624"
"268.375","421.66675","0.62880003"
"256.80142","426.67578","0.624"
"225.8597","440.15826","0.62880003"
"184.94778","456.7536","0.63360006"
"168.35643","463.59192","0.62880003"
"157.44873","466.84528","0.62880003"
"147.03114","470.68695","0.62880003"
"140.51991","472.2204","0.63360006"
"135.5625","472.27277","0.624"
"132.4485","471.51697","0.6096"
"130.50461","468.18738","0.6096"
"130.25","457.1607","0.61920005"
"133.64726","435.53717","0.6144"
"138.10654","412.3623","0.624"
"142.54982","395.98248","0.63360006"
"145.6438","380.7937","0.63360006"
"147.12003","368.68457","0.6384"
"148.7154","358.3631","0.648"
"149.97331","350.24625","0.6672"
"151.08983","344.5645","0.68160003"
"151.54558","340.40405","0.67200005"
"152.27898","336.9807","0.68160003"
"157.55829","338.38586","0.68160003"
"169.28323","343.58215","0.67200005"
"189.20293","356.04028","0.67200005"
"210.5625","369.8485","0.6624"
"245.05276","397.141","0.6672"
"278.59097","426.653","0.648"
"290.29584","437.83087","0.648"
"308.0825","457.25665","0.648"
"326.8852","476.28265","0.65760005"
"344.95407","493.80396","0.64320004"
"364.14258","513.7382","0.648"
"384.2564","534.33954","0.6384"
"404.8185","555.94714","0.63360006"
"425.18716","578.2589","0.62880003"
"445.99393","604.2905","0.61920005"
"469.5989","634.94275","0.624"
"487.9895","658.0992","0.6096"
"506.53857","681.372","0.58080006"
"525.56","701.3255","0.5952"
"534.3973","713.2245","0.5952"
"539.68524","720.8394","0.57600003"
"542.4375","726.21216","0.56640005"
"544.744","731.04614","0.5568"
"545.875","733.78796","0.5712"
"548.84283","739.24066","0.58080006"
"551.56226","745.10065","0.5472"
"556.5417","755.27075","0.5568"
"566.72614","773.18646","0.5328"
"582.75","801.36365","0.52320004"
"601.86395","827.6451","0.48000002"
"641.4582","874.14026","0.38880002"
"669.25287","902.73584","0.30240002"
"672.125","906.51514","0.26880002"
"674.9394","907.36487","0.216"
