"ChallengeX","ChallengeY","Tester Name","Device Name"
"508.0","672.0","tim","nexus7"
"340.0","367.0","tim","nexus7"
"439.0","650.0","tim","nexus7"
"106.0","619.0","tim","nexus7"
"X","Y","PRESSURE"
"537.6428","702.2857","0.10560001"
"528.4353","699.4465","0.33600003"
"526.67053","697.5045","0.35520002"
"524.8779","694.0628","0.3648"
"523.04297","690.23804","0.36"
"521.2731","685.1408","0.33600003"
"519.41675","680.32587","0.312"
"513.7021","671.2299","0.312"
"505.16705","651.39935","0.32160002"
"497.04663","633.4412","0.30240002"
"489.10284","619.53094","0.31680003"
"477.39218","599.8159","0.3456"
"464.36453","577.6118","0.3264"
"452.24503","561.7414","0.32160002"
"440.25653","544.2559","0.33600003"
"417.82608","510.27466","0.33600003"
"402.2614","485.5177","0.35040003"
"388.11212","464.0313","0.32160002"
"373.2594","441.30853","0.3312"
"362.26163","421.26807","0.33600003"
"349.2776","399.78046","0.34080002"
"344.40594","390.2906","0.3456"
"336.62653","376.33435","0.35040003"
"329.14227","361.9646","0.34080002"
"326.3661","355.77722","0.3264"
"324.4339","352.06738","0.3264"
"323.16183","348.95538","0.36"
"321.90945","346.89594","0.3984"
"320.23212","345.28577","0.432"
"320.67856","347.6573","0.47520003"
"321.35175","351.29254","0.44640002"
"323.57208","357.68256","0.3984"
"327.14987","370.35168","0.3984"
"334.3658","392.75366","0.3456"
"337.98785","404.2047","0.34080002"
"343.20355","427.26276","0.34080002"
"354.59216","470.16754","0.3312"
"362.0334","496.80255","0.30240002"
"366.94952","517.3948","0.30240002"
"372.0124","540.905","0.312"
"375.3839","557.95984","0.3072"
"377.375","569.4286","0.3312"
"378.6885","576.9944","0.35040003"
"385.40225","597.6872","0.35520002"
"390.2505","611.25836","0.3312"
"394.32452","621.65765","0.3312"
"396.56085","629.3982","0.33600003"
"397.4643","635.3654","0.3648"
"398.27985","639.56586","0.3984"
"398.35715","641.5859","0.43680003"
"398.35715","645.26404","0.46080002"
"398.35715","647.39777","0.46080002"
"397.4643","649.5158","0.4512"
"396.5822","650.0","0.44640002"
"394.29266","650.0","0.42240003"
"392.0023","650.0","0.40320003"
"390.66614","650.0","0.39360002"
"388.4914","650.0","0.3648"
"381.34174","649.1306","0.36960003"
"372.83005","647.08777","0.37440002"
"362.2018","644.9439","0.37440002"
"345.67157","639.9269","0.35520002"
"324.15674","635.5682","0.38880002"
"306.57996","631.40204","0.36960003"
"301.54776","629.7962","0.36"
"280.08505","625.0433","0.38880002"
"256.17938","619.0916","0.384"
"236.71921","613.9934","0.35040003"
"220.1691","610.34705","0.34080002"
"204.81862","607.0047","0.35040003"
"191.33514","603.5661","0.3264"
"184.37984","602.23065","0.31680003"
"171.97743","599.54","0.3072"
"155.79633","594.38055","0.33600003"
"144.7969","590.85986","0.35040003"
"136.32404","588.7208","0.34080002"
"130.42975","587.4061","0.31680003"
"122.464294","585.28577","0.19680001"
