"ChallengeX","ChallengeY","Tester Name","Device Name"
"634.0","560.0","tim","nexus7"
"360.0","281.0","tim","nexus7"
"178.0","102.0","tim","nexus7"
"649.0","664.0","tim","nexus7"
"X","Y","PRESSURE"
"656.3928","595.1429","0.10080001"
"649.4009","585.002","0.4128"
"647.18036","580.8834","0.4128"
"642.88385","576.1742","0.3984"
"640.64734","573.17","0.39360002"
"636.57996","567.898","0.36960003"
"633.1786","563.0","0.3264"
"629.12915","557.3882","0.34080002"
"620.711","547.18176","0.3648"
"609.85","535.8903","0.384"
"598.8947","526.2304","0.3792"
"588.74146","516.83484","0.32160002"
"581.2126","508.3407","0.32160002"
"570.2322","497.85718","0.3312"
"564.21954","491.3592","0.3456"
"548.58746","475.36407","0.35520002"
"537.0068","461.951","0.33600003"
"528.0096","453.03778","0.32160002"
"519.3101","444.14355","0.3456"
"510.74554","433.86615","0.37440002"
"499.3871","421.27448","0.3648"
"492.27795","413.7968","0.35520002"
"481.1432","402.90314","0.35040003"
"467.65454","387.0417","0.3456"
"453.778","371.67346","0.35520002"
"443.41013","360.6795","0.3456"
"432.64224","349.4851","0.34080002"
"419.11166","336.40338","0.3312"
"408.0287","324.99902","0.3456"
"398.68845","315.42926","0.3456"
"379.90213","296.2115","0.2976"
"360.1541","277.4601","0.32160002"
"341.34326","260.1238","0.33600003"
"323.3655","244.21326","0.3312"
"309.87604","230.77246","0.3312"
"292.14096","212.88959","0.33600003"
"283.47018","202.9314","0.34080002"
"265.74963","187.24533","0.3264"
"249.39404","173.44244","0.33600003"
"240.10043","164.64499","0.36"
"228.5199","153.52768","0.35040003"
"219.20775","144.72672","0.3264"
"211.52884","137.21628","0.31680003"
"205.94641","131.85712","0.312"
"201.80127","128.73492","0.312"
"197.13303","124.25342","0.312"
"193.77698","121.03162","0.32160002"
"190.69812","118.933075","0.31680003"
"188.45087","116.775696","0.312"
"186.30038","114.71121","0.3264"
"184.15242","114.285706","0.35040003"
"183.13835","114.285706","0.35040003"
"184.58383","114.77762","0.37440002"
"185.80922","117.622284","0.38880002"
"189.89966","122.678375","0.38880002"
"196.34102","131.67743","0.30240002"
"215.29071","154.81784","0.35040003"
"235.69397","183.39175","0.35520002"
"247.9107","201.28574","0.39360002"
"260.10294","215.8093","0.38880002"
"283.14944","246.34677","0.3984"
"300.23975","267.83057","0.40320003"
"317.26266","286.641","0.39360002"
"328.93103","302.84888","0.384"
"349.74622","326.7553","0.39360002"
"371.16003","349.93488","0.3984"
"380.14856","361.53607","0.40320003"
"402.97302","388.52087","0.33600003"
"429.32007","417.81042","0.3792"
"441.3754","432.60907","0.384"
"458.42914","454.67017","0.3648"
"474.3118","472.7453","0.3984"
"489.81433","491.53015","0.39360002"
"496.41364","501.8778","0.36960003"
"504.6488","513.59894","0.37440002"
"521.05597","534.52435","0.384"
"537.95197","553.3869","0.3312"
"548.10205","568.1429","0.3312"
"557.1107","579.93286","0.3648"
"566.41595","591.0508","0.3792"
"580.5","604.5714","0.384"
"586.9054","610.1243","0.36960003"
"598.59235","622.1567","0.37440002"
"605.5034","630.00446","0.384"
"613.2158","638.73346","0.39360002"
"617.5287","645.0356","0.39360002"
"620.91406","651.5354","0.4176"
"624.7392","657.9902","0.384"
"626.9204","661.9843","0.35520002"
"628.7143","664.5714","0.23520002"
