"ChallengeX","ChallengeY","Tester Name","Device Name"
"634.0","560.0","Jake ","nexus-03"
"360.0","281.0","Jake ","nexus-03"
"178.0","102.0","Jake ","nexus-03"
"649.0","664.0","Jake ","nexus-03"
"X","Y","PRESSURE"
"632.75","537.7273","0.096"
"628.13104","537.7273","0.3264"
"621.8149","535.8189","0.37440002"
"608.6023","530.2027","0.39360002"
"588.6301","519.8457","0.42240003"
"565.05927","505.78894","0.46080002"
"541.5765","492.31506","0.48960003"
"521.3438","476.6043","0.49920002"
"501.75098","460.35193","0.504"
"484.3027","444.42358","0.52320004"
"471.04382","432.43646","0.51360005"
"457.5744","420.248","0.5088"
"435.57184","398.6454","0.5088"
"414.23538","381.2603","0.53760004"
"398.15018","366.60016","0.5328"
"388.9017","356.49283","0.5328"
"378.42065","344.62448","0.5328"
"368.0301","331.6248","0.5328"
"357.90555","318.5345","0.5328"
"347.0147","306.0339","0.53760004"
"336.31464","293.4946","0.5616"
"326.59412","280.67725","0.5424"
"316.7316","268.4149","0.53760004"
"308.55878","258.88333","0.528"
"300.66064","250.13043","0.528"
"291.52548","242.59741","0.52320004"
"282.0006","232.39468","0.5184"
"272.84183","220.34973","0.528"
"263.99622","209.58456","0.5328"
"255.974","199.92865","0.55200005"
"246.82632","187.63208","0.5424"
"238.89032","176.65863","0.5424"
"231.94147","166.55124","0.5328"
"224.20454","154.22946","0.5328"
"217.95404","143.7804","0.5328"
"210.94438","133.88882","0.5328"
"203.39082","124.41696","0.5328"
"197.75","117.121216","0.5424"
"195.85902","114.67633","0.5472"
"188.8786","107.48892","0.5616"
"183.0625","101.66669","0.5712"
"181.34383","101.2728","0.5856"
"184.56714","106.762085","0.58080006"
"195.74632","119.78351","0.56640005"
"215.71594","142.06772","0.56640005"
"243.62906","176.22342","0.56640005"
"265.9174","204.70792","0.5616"
"285.8522","228.00452","0.55200005"
"306.53375","251.3537","0.5616"
"326.3764","275.43314","0.5568"
"348.23184","298.3075","0.5616"
"370.7682","320.71664","0.5568"
"397.8666","347.53732","0.5616"
"417.08893","367.6327","0.5472"
"437.8925","388.77454","0.55200005"
"459.9436","408.89722","0.5568"
"482.5423","430.25317","0.5568"
"505.71588","452.95148","0.5472"
"535.4076","486.32892","0.5424"
"555.7452","508.87354","0.55200005"
"573.4844","529.00604","0.5328"
"591.7282","551.1537","0.5328"
"605.25","569.8485","0.53760004"
"610.9076","576.5567","0.55200005"
"636.46075","611.78766","0.55200005"
"666.71326","651.61743","0.5568"
"684.1008","672.34644","0.528"
"700.05316","692.2521","0.4656"
"710.63385","704.22217","0.26880002"
"722.125","716.5152","0.20160002"
