"ChallengeX","ChallengeY","Tester Name","Device Name"
"253.0","779.0","Ryan","nexus-06"
"553.0","161.0","Ryan","nexus-06"
"643.0","787.0","Ryan","nexus-06"
"218.0","409.0","Ryan","nexus-06"
"635.0","517.0","Ryan","nexus-06"
"634.0","686.0","Ryan","nexus-06"
"209.0","893.0","Ryan","nexus-06"
"X","Y","PRESSURE"
"224.0","768.03033","0.110400006"
"227.89673","760.473","0.3456"
"236.58951","745.8655","0.40320003"
"251.74292","719.7348","0.44160002"
"270.27362","684.40845","0.44640002"
"288.7937","653.7707","0.51360005"
"305.28937","624.3176","0.504"
"333.25937","576.5739","0.49920002"
"362.7614","526.3443","0.48000002"
"390.44754","479.5053","0.48000002"
"414.1722","437.24402","0.4848"
"438.00778","397.75842","0.4848"
"453.9651","367.492","0.47520003"
"477.02988","324.985","0.47040004"
"491.70367","297.93832","0.47040004"
"506.45","270.8043","0.45600003"
"527.70294","228.73029","0.44640002"
"540.37274","204.59381","0.44160002"
"554.78564","180.48492","0.4512"
"566.7604","160.2526","0.46080002"
"574.43134","146.92917","0.4656"
"577.88434","141.14651","0.48000002"
"581.76575","147.15237","0.52320004"
"585.0628","174.27557","0.46080002"
"587.7026","214.64352","0.432"
"588.375","243.06305","0.40800002"
"588.375","274.02673","0.39360002"
"588.375","303.88538","0.384"
"589.7278","351.90045","0.37440002"
"593.3751","386.8188","0.3648"
"597.9491","418.16296","0.36"
"602.2745","457.93805","0.34080002"
"604.2819","489.8377","0.33600003"
"606.247","533.96783","0.3312"
"605.875","560.17035","0.33600003"
"607.04083","598.0998","0.33600003"
"608.1863","617.34937","0.3312"
"609.63336","636.2974","0.32160002"
"611.83344","651.0209","0.4512"
"615.6184","676.0914","0.40320003"
"620.58496","700.2386","0.384"
"624.04364","714.6784","0.44640002"
"628.5264","729.1811","0.5424"
"631.1296","736.0436","0.44160002"
"632.125","743.76166","0.4176"
"631.1875","749.24243","0.40320003"
"630.7301","752.6501","0.4512"
"628.77924","755.0538","0.48960003"
"624.81024","756.0513","0.5088"
"618.0719","753.61865","0.53760004"
"603.4118","741.8645","0.51360005"
"569.2816","718.26044","0.63360006"
"563.3148","710.67303","0.7152"
"535.5566","684.7484","0.6624"
"504.29993","663.59875","0.75360006"
"466.4421","638.0376","0.648"
"447.4985","623.96","0.59040004"
"422.8955","602.9964","0.5616"
"386.77045","571.9289","0.53760004"
"363.41202","552.6027","0.51360005"
"339.92752","532.94226","0.51360005"
"317.09827","514.85675","0.5184"
"296.5241","497.0146","0.51360005"
"275.42352","478.75232","0.52320004"
"255.80743","461.2981","0.52320004"
"237.77332","446.07898","0.52320004"
"227.43176","436.8435","0.5184"
"220.30753","431.43878","0.5184"
"214.0","427.4242","0.51360005"
"211.30487","424.2047","0.51360005"
"210.81143","421.8156","0.5472"
"236.87372","422.81805","0.5472"
"265.65988","426.67194","0.5328"
"294.51617","430.15863","0.52320004"
"323.65277","433.79565","0.5088"
"356.5634","437.12543","0.49920002"
"400.9448","445.2887","0.504"
"430.5164","449.32562","0.504"
"461.5866","454.47388","0.504"
"492.9325","460.5791","0.48960003"
"529.54004","469.2942","0.48000002"
"555.4557","476.13922","0.48000002"
"579.3399","482.97034","0.47520003"
"594.53235","487.5963","0.48000002"
"604.6232","490.65607","0.49920002"
"611.74646","495.05835","0.49920002"
"617.8246","498.9756","0.5184"
"622.2424","502.68964","0.5184"
"625.25964","505.61548","0.51360005"
"627.8608","513.2547","0.4656"
"630.09686","521.3758","0.4512"
"634.0807","534.65814","0.4176"
"637.1234","557.11346","0.40800002"
"639.9877","575.6924","0.39360002"
"640.2005","599.29333","0.38880002"
"642.09503","613.7425","0.3792"
"642.4375","617.7273","0.37440002"
"643.3029","631.83014","0.37440002"
"644.07056","650.2639","0.384"
"644.625","665.1263","0.65760005"
"644.1121","671.12305","0.5952"
"643.0266","674.49835","0.73440003"
"642.22656","676.8258","0.72480005"
"633.6747","683.1603","0.67200005"
"623.42896","688.00793","0.57600003"
"594.11914","699.96625","0.5328"
"550.87177","714.5075","0.5328"
"524.0667","728.4984","0.5568"
"477.78882","750.3468","0.6672"
"434.22183","771.6845","0.60480005"
"406.17294","788.125","0.57600003"
"358.87476","813.3465","0.52320004"
"323.37494","835.9092","0.52320004"
"298.35825","852.3389","0.49920002"
"275.5216","866.871","0.49920002"
"252.82501","879.4674","0.48960003"
"237.23358","888.2676","0.48960003"
"230.75133","892.1023","0.47520003"
"226.9065","894.21204","0.44640002"
