"ChallengeX","ChallengeY","Tester Name","Device Name"
"596.0","147.0","Jake","nexus-07"
"248.0","756.0","Jake","nexus-07"
"X","Y","PRESSURE"
"609.625","157.33334","0.10080001"
"606.445","163.66061","0.36960003"
"604.7861","175.18423","0.36960003"
"597.8078","195.57394","0.37440002"
"586.8987","221.33438","0.3792"
"574.28894","249.07285","0.36960003"
"549.6688","290.21176","0.3648"
"525.9735","331.94284","0.36"
"509.7583","361.18994","0.3456"
"479.46686","411.4095","0.33600003"
"452.59396","457.14197","0.3312"
"436.8125","483.09094","0.3312"
"428.7461","498.03864","0.32160002"
"384.1871","562.99457","0.32160002"
"354.39685","609.8233","0.32160002"
"335.44705","642.30084","0.32160002"
"320.14294","665.9393","0.33600003"
"305.84457","689.18567","0.32160002"
"291.2101","712.6035","0.32160002"
"278.8321","735.9177","0.31680003"
"269.83197","752.71826","0.31680003"
"262.79663","765.8363","0.2976"
"254.56076","777.0124","0.28320003"
"251.5","780.9697","0.2544"
