"ChallengeX","ChallengeY","Tester Name","Device Name"
"156.0","751.0","Jake","nexus-08"
"417.0","898.0","Jake","nexus-08"
"207.0","676.0","Jake","nexus-08"
"248.0","616.0","Jake","nexus-08"
"X","Y","PRESSURE"
"163.375","757.1212","0.13440001"
"173.33057","761.8778","0.6768"
"184.119","766.8759","0.74880004"
"208.64018","776.8603","0.7968"
"235.0076","790.6232","0.78720003"
"264.84427","804.5003","0.76320004"
"309.53598","825.8523","0.72"
"340.0807","840.77734","0.67200005"
"357.75","848.3333","0.6384"
"368.7274","853.9588","0.624"
"404.58807","872.3828","0.60480005"
"421.32352","885.0232","0.624"
"425.8547","889.2228","0.64320004"
"428.4134","891.704","0.6768"
"411.14136","872.7556","0.68640006"
"394.588","850.8108","0.7152"
"377.6014","829.6256","0.70080006"
"360.6134","808.7595","0.7152"
"342.43384","786.7946","0.7296"
"326.41635","767.7364","0.7728"
"310.25458","748.68176","0.76320004"
"293.9787","730.7948","0.75360006"
"280.11697","716.9793","0.7584"
"265.87363","702.08954","0.75360006"
"254.24689","690.08795","0.79200006"
"248.35025","683.51666","0.7968"
"240.68967","670.70123","0.82080007"
"234.20023","661.6225","0.8256"
"227.5769","652.021","0.80160004"
"221.11514","643.38666","0.82080007"
"216.31071","635.7394","0.81600004"
"213.375","629.8485","0.8112"
"211.5276","628.5183","0.88320005"
"217.05516","622.4189","0.9024"
"234.23697","616.3573","0.8784"
"263.43756","608.7329","0.79200006"
"298.29984","601.9639","0.528"
"315.902","597.85223","0.3072"
