"ChallengeX","ChallengeY","Tester Name","Device Name"
"437.0","575.0","Sean","nexus-08"
"376.0","717.0","Sean","nexus-08"
"579.0","783.0","Sean","nexus-08"
"264.0","825.0","Sean","nexus-08"
"X","Y","PRESSURE"
"250.25","599.5455","0.16800001"
"242.2215","607.83685","0.46080002"
"217.2108","640.3298","0.6384"
"193.60045","667.77527","0.6768"
"183.25076","680.7717","0.7152"
"166.7346","702.0452","0.7296"
"157.39066","715.17175","0.7296"
"149.43301","727.3957","0.76320004"
"144.97116","735.8439","0.7296"
"142.38147","741.65106","0.71040004"
"141.42816","745.2438","0.69600004"
"144.63713","748.8026","0.74880004"
"152.51498","748.6364","0.744"
"164.15483","746.9562","0.7296"
"185.81465","741.7478","0.73920006"
"202.82164","734.665","0.72480005"
"217.50284","728.0943","0.72"
"232.18077","720.16486","0.648"
"243.57343","713.3566","0.42240003"
"260.25","702.5758","0.24480002"
