"ChallengeX","ChallengeY","Tester Name","Device Name"
"596.0","147.0","Ryan","nexus-09"
"248.0","756.0","Ryan","nexus-09"
"X","Y","PRESSURE"
"600.25","154.30304","0.13440001"
"597.2077","157.99066","0.42720002"
"592.6753","165.01779","0.47040004"
"590.875","167.63635","0.4848"
"583.11597","179.34723","0.48960003"
"559.4916","218.74457","0.5184"
"545.5142","240.53345","0.51360005"
"537.0718","254.389","0.5184"
"521.35913","278.2533","0.5088"
"505.5346","303.04688","0.49920002"
"490.3226","326.64282","0.49920002"
"476.1578","349.4056","0.528"
"460.683","372.79993","0.51360005"
"446.97186","398.10742","0.49920002"
"432.27063","424.24426","0.49440002"
"416.03934","449.98853","0.48000002"
"400.8388","473.05432","0.47520003"
"387.0532","498.06708","0.46080002"
"375.0705","521.21405","0.45600003"
"363.89133","542.8564","0.45600003"
"354.39926","558.72864","0.4512"
"343.8429","579.59265","0.44160002"
"334.5981","595.55756","0.44160002"
"325.94473","611.2217","0.44160002"
"314.7669","632.2096","0.432"
"304.25745","651.3795","0.4128"
"296.45673","667.2934","0.40320003"
"287.9063","683.69684","0.40320003"
"281.55292","697.2222","0.40320003"
"276.46768","708.1615","0.4128"
"274.625","712.1819","0.4176"
"272.72665","716.5781","0.4176"
"268.99","724.9261","0.40320003"
"266.0295","730.367","0.384"
"264.1245","734.0615","0.28800002"
