"ChallengeX","ChallengeY","Tester Name","Device Name"
"527.0","814.0","Ryan","nexus-09"
"338.0","534.0","Ryan","nexus-09"
"511.0","301.0","Ryan","nexus-09"
"260.0","573.0","Ryan","nexus-09"
"X","Y","PRESSURE"
"519.0","802.5758","0.0816"
"513.02234","797.12634","0.23520002"
"502.79523","785.29504","0.28800002"
"488.07495","764.80255","0.3264"
"471.72324","743.46014","0.3456"
"456.70847","722.28735","0.36960003"
"439.71637","701.1241","0.3792"
"422.97208","678.3924","0.3792"
"402.3586","655.3568","0.384"
"373.46567","614.7665","0.384"
"365.082","603.7727","0.38880002"
"358.1063","594.3061","0.38880002"
"352.117","583.1663","0.39360002"
"346.98642","571.5103","0.40800002"
"343.64218","563.58435","0.40800002"
"340.86005","553.41956","0.40800002"
"342.04523","542.6659","0.4128"
"345.0336","531.88824","0.40800002"
"352.6044","518.25977","0.40800002"
"363.24265","502.4652","0.4176"
"383.3049","478.80548","0.4128"
"412.8706","443.15802","0.40800002"
"438.65762","416.18628","0.43680003"
"456.8616","393.8899","0.42240003"
"475.65298","371.80377","0.42240003"
"493.0746","350.78317","0.4176"
"509.0935","332.16116","0.44160002"
"516.8086","318.947","0.42720002"
"521.3941","310.8371","0.42720002"
"525.28784","302.46576","0.42240003"
"528.3365","295.98383","0.42240003"
"528.6875","292.57574","0.4176"
"529.27405","289.73203","0.42720002"
"486.80695","333.6162","0.44640002"
"462.11005","359.33893","0.43680003"
"427.032","393.67853","0.42240003"
"401.98077","419.02747","0.4128"
"381.38306","439.81244","0.39360002"
"360.4359","461.78943","0.38880002"
"340.87265","481.57996","0.39360002"
"322.67966","502.19794","0.39360002"
"307.145","519.9878","0.38880002"
"296.99475","530.5809","0.37440002"
"288.72565","539.4272","0.36960003"
"282.75793","546.80664","0.36"
"280.25","550.4546","0.35040003"
"276.97208","555.6615","0.2976"
