"ChallengeX","ChallengeY","Tester Name","Device Name"
"508.0","672.0","tim","nexus7"
"340.0","367.0","tim","nexus7"
"439.0","650.0","tim","nexus7"
"106.0","619.0","tim","nexus7"
"X","Y","PRESSURE"
"537.6428","700.5714","0.124800004"
"527.1934","693.9685","0.3792"
"522.35455","688.2255","0.33600003"
"514.114","675.11035","0.3264"
"501.56964","652.73944","0.33600003"
"488.48505","629.1966","0.32160002"
"477.2968","606.1356","0.33600003"
"466.6383","582.49554","0.3312"
"459.9643","565.5714","0.3072"
"449.81277","545.4936","0.33600003"
"431.21698","509.94806","0.33600003"
"418.81473","483.37793","0.35520002"
"408.4169","460.56055","0.3456"
"397.56207","437.6164","0.3648"
"385.99463","415.26184","0.33600003"
"376.03296","399.28107","0.35040003"
"371.24716","391.24097","0.36"
"363.4822","378.19586","0.36"
"358.2476","368.528","0.34080002"
"354.8876","364.25275","0.38880002"
"353.0131","361.3269","0.42240003"
"350.8942","359.29272","0.48960003"
"349.6964","358.14282","0.504"
"350.14285","359.4616","0.47520003"
"350.14285","360.88208","0.46080002"
"351.48172","366.7124","0.46080002"
"358.3234","385.47662","0.40320003"
"369.32782","414.68127","0.42720002"
"379.86322","445.0232","0.35520002"
"389.64044","473.44678","0.384"
"398.18884","499.01422","0.384"
"406.79468","523.1172","0.38880002"
"416.8482","547.1343","0.3648"
"429.3642","578.57336","0.4176"
"436.6028","596.76605","0.4128"
"441.60492","608.5089","0.4128"
"445.90796","617.869","0.3984"
"448.0253","626.44","0.3984"
"449.23627","633.6748","0.42240003"
"450.29654","636.5808","0.42720002"
"451.0357","641.69293","0.43680003"
"450.2439","645.5203","0.46080002"
"450.14285","649.71295","0.47040004"
"449.49243","652.3387","0.45600003"
"447.33017","654.4145","0.43680003"
"444.36633","655.1429","0.40800002"
"439.875","655.1429","0.384"
"434.83038","655.1429","0.36960003"
"423.74347","654.34753","0.3648"
"405.6185","652.29517","0.3456"
"384.14102","650.132","0.36"
"361.68137","647.16486","0.35040003"
"335.60257","644.3109","0.36"
"312.01614","642.2189","0.36960003"
"300.55762","641.176","0.36960003"
"270.92606","638.24445","0.3792"
"240.21542","635.01733","0.38880002"
"212.88252","632.2547","0.40800002"
"195.1116","630.9677","0.42720002"
"176.52263","627.93506","0.40320003"
"160.59964","625.86194","0.4128"
"152.27322","624.5233","0.4128"
"144.15057","622.63324","0.432"
"135.5533","622.5714","0.3648"
"129.60715","623.4286","0.21120001"
