"ChallengeX","ChallengeY","Tester Name","Device Name"
"550.0","434.0","tim","nexus7"
"500.0","212.0","tim","nexus7"
"558.0","211.0","tim","nexus7"
"145.0","162.0","tim","nexus7"
"X","Y","PRESSURE"
"547.4643","448.5714","0.1632"
"547.4643","438.1883","0.31680003"
"546.8752","434.58325","0.34080002"
"544.98517","428.76587","0.35520002"
"543.4464","421.5714","0.33600003"
"542.9587","418.3333","0.32160002"
"539.3429","401.32257","0.31680003"
"533.85614","374.03064","0.32160002"
"527.7467","352.74896","0.30240002"
"523.2987","336.06146","0.35520002"
"519.12244","314.34277","0.35520002"
"513.93207","299.90326","0.30240002"
"512.1964","292.14282","0.3072"
"509.29596","284.32574","0.34080002"
"506.0282","263.64615","0.36"
"502.62073","249.60806","0.3264"
"499.6482","242.2898","0.31680003"
"497.68225","236.6278","0.30240002"
"496.3888","231.18839","0.312"
"495.6786","227.17197","0.312"
"494.84906","225.77512","0.31680003"
"493.69934","223.81427","0.33600003"
"494.50714","221.69601","0.34080002"
"495.78168","219.6153","0.35520002"
"499.18256","217.60379","0.35040003"
"503.2176","217.14285","0.3456"
"510.28632","217.14285","0.33600003"
"525.5893","215.00003","0.35040003"
"531.80804","214.79074","0.3648"
"545.62787","214.57144","0.34080002"
"559.2651","213.68332","0.34080002"
"571.5247","212.85715","0.36960003"
"581.18","212.85715","0.37440002"
"589.978","212.85715","0.37440002"
"594.4894","212.85715","0.384"
"596.3507","212.85715","0.3792"
"598.23376","212.85715","0.38880002"
"600.3845","212.85715","0.38880002"
"602.375","212.85715","0.38880002"
"599.51385","212.85715","0.36960003"
"596.2997","212.85715","0.36"
"591.6607","212.85715","0.37440002"
"587.9384","212.09457","0.37440002"
"574.65497","209.45667","0.37440002"
"553.9118","204.7088","0.40320003"
"536.6042","200.60788","0.432"
"515.9202","196.0723","0.43680003"
"496.73254","191.8439","0.46080002"
"478.81116","187.80896","0.4512"
"467.55353","185.42856","0.44640002"
"449.30365","181.61975","0.44640002"
"412.2136","173.275","0.4128"
"392.9165","170.3559","0.40800002"
"377.842","167.55386","0.4128"
"355.24606","164.57562","0.3984"
"333.04074","161.69958","0.34080002"
"310.73935","158.5249","0.36960003"
"302.35934","157.73026","0.36960003"
"281.17117","154.9343","0.3984"
"255.66953","151.5567","0.4128"
"238.95804","148.18533","0.40800002"
"219.04697","145.0542","0.42720002"
"205.88521","143.06165","0.40320003"
"193.0656","141.0105","0.432"
"185.4107","140.85715","0.42240003"
"177.69565","140.85715","0.40320003"
"171.29868","140.85715","0.37440002"
"168.0","140.85715","0.2928"
