"ChallengeX","ChallengeY","Tester Name","Device Name"
"162.0","352.0","tim","nexus-59"
"253.0","458.0","tim","nexus-59"
"617.0","205.0","tim","nexus-59"
"461.0","346.0","tim","nexus-59"
"X","Y","PRESSURE","SIZE","TIME"
"154.60715","334.5714","0.192","0.41935483","0"
"155.5","343.39484","0.48000002","0.41935483","95"
"155.76047","345.10724","0.49440002","0.41935483","109"
"157.52399","347.02893","0.4848","0.41935483","124"
"159.39505","350.62134","0.47040004","0.41935483","138"
"160.51656","352.77466","0.45600003","0.41935483","153"
"162.32927","356.25513","0.432","0.41935483","170"
"166.27565","362.08838","0.4128","0.41935483","187"
"172.4566","370.13367","0.42720002","0.41935483","204"
"180.33893","380.66388","0.4128","0.41935483","220"
"190.5355","395.54492","0.35040003","0.38709676","237"
"200.93648","409.85712","0.36","0.38709676","254"
"208.3849","421.53906","0.37440002","0.38709676","271"
"213.07086","428.29047","0.36960003","0.38709676","288"
"223.07043","444.30145","0.32160002","0.38709676","305"
"229.92123","455.1745","0.30240002","0.38709676","322"
"234.18536","462.44977","0.312","0.38709676","339"
"238.72012","468.97986","0.32160002","0.38709676","356"
"243.241","473.6599","0.3456","0.38709676","373"
"247.59192","477.347","0.35520002","0.38709676","389"
"249.95413","478.48083","0.3648","0.38709676","406"
"255.18472","479.28998","0.37440002","0.38709676","423"
"265.53012","476.50464","0.384","0.38709676","440"
"283.8269","467.44025","0.40800002","0.38709676","457"
"302.54865","456.68616","0.3984","0.38709676","474"
"324.45575","441.4903","0.3984","0.38709676","491"
"348.61792","424.1997","0.4128","0.38709676","508"
"362.64282","413.4286","0.4128","0.38709676","519"
"385.64124","397.7807","0.39360002","0.38709676","542"
"427.20798","368.0694","0.39360002","0.3548387","558"
"463.2678","345.72296","0.39360002","0.3548387","575"
"485.89868","331.9746","0.40320003","0.3548387","592"
"520.4207","310.02576","0.4176","0.3548387","609"
"546.3677","293.55304","0.384","0.3548387","626"
"571.0936","279.7307","0.35040003","0.3548387","643"
"583.5242","273.68915","0.35520002","0.3548387","660"
"617.34125","253.63248","0.35520002","0.3548387","677"
"639.789","239.66605","0.3456","0.3548387","694"
"648.35944","234.56995","0.33600003","0.3548387","711"
"655.24","230.16641","0.33600003","0.3548387","728"
"659.7942","227.93878","0.312","0.3548387","745"
"663.53864","225.71289","0.3312","0.3548387","762"
"664.6323","225.7143","0.3312","0.3548387","779"
"665.7678","225.7143","0.3312","0.3548387","787"
"663.62085","228.20395","0.35520002","0.3548387","830"
"661.0141","231.56363","0.3648","0.3548387","846"
"655.77185","236.59616","0.34080002","0.3548387","863"
"636.1281","246.38358","0.2592","0.32258064","880"
"619.51843","261.1137","0.28320003","0.3548387","897"
"613.2866","267.09628","0.3312","0.3548387","914"
"593.345","285.38306","0.3456","0.3548387","931"
"571.74036","302.55597","0.3792","0.3548387","948"
"551.097","318.5191","0.40320003","0.3548387","965"
"536.72034","332.0285","0.4176","0.3548387","982"
"523.771","342.95465","0.39360002","0.3548387","999"
"513.0893","350.4286","0.3792","0.3548387","1014"
"505.85895","356.23865","0.37440002","0.3548387","1033"
"494.44885","365.00153","0.37440002","0.3548387","1049"
"487.65387","370.13757","0.31680003","0.3548387","1066"
"483.86426","373.34174","0.1728","0.29032257","1083"
"481.27618","375.82623","0.0816","0.22580644","1100"
