"ChallengeX","ChallengeY","Tester Name","Device Name"
"461.0","576.0","lou","nexus-79"
"516.0","278.0","lou","nexus-79"
"191.0","503.0","lou","nexus-79"
"627.0","704.0","lou","nexus-79"
"X","Y","PRESSURE","SIZE","TIME"
"474.25","541.4286","0.1824","0.41935483","0"
"470.67856","532.8572","0.52320004","0.41935483","59"
"471.77332","523.12274","0.53760004","0.516129","75"
"472.88065","514.231","0.55200005","0.516129","92"
"481.3684","479.80017","0.56640005","0.54838705","109"
"488.93915","448.5799","0.5952","0.54838705","125"
"494.80426","426.50024","0.624","0.54838705","142"
"500.0725","402.84167","0.6528","0.54838705","159"
"505.86548","379.64148","0.6528","0.54838705","176"
"511.0758","356.84534","0.6528","0.54838705","192"
"513.53564","345.14288","0.6528","0.54838705","204"
"515.89545","335.8365","0.648","0.54838705","226"
"518.03876","323.52814","0.64320004","0.54838705","242"
"518.8928","317.5838","0.6384","0.54838705","259"
"518.8928","313.07355","0.6384","0.54838705","276"
"517.9423","310.80176","0.648","0.54838705","293"
"515.8634","308.80603","0.67200005","0.54838705","309"
"512.18756","308.2857","0.6672","0.54838705","326"
"509.1186","308.2857","0.6624","0.54838705","343"
"500.68604","310.02142","0.68160003","0.61290324","360"
"484.42047","316.68958","0.69600004","0.61290324","376"
"459.86096","328.04956","0.68160003","0.61290324","393"
"436.45502","339.14148","0.69600004","0.61290324","410"
"412.74893","351.9406","0.70080006","0.6451613","426"
"387.3584","367.32495","0.69600004","0.61290324","443"
"364.42856","380.7143","0.69600004","0.61290324","459"
"350.23148","389.0218","0.70080006","0.6451613","477"
"311.35504","411.75555","0.69600004","0.6774193","493"
"282.9488","428.58948","0.68640006","0.61290324","510"
"267.8108","438.08893","0.7152","0.61290324","527"
"251.93384","448.976","0.71040004","0.61290324","543"
"240.22302","458.3802","0.70080006","0.6451613","560"
"229.13351","468.76373","0.68160003","0.7419355","579"
"223.27249","474.45874","0.67200005","0.7096774","596"
"215.89417","483.31274","0.6624","0.6451613","613"
"209.86768","490.1391","0.6624","0.61290324","629"
"206.73936","495.33472","0.6672","0.61290324","646"
"205.5","499.36005","0.6768","0.61290324","663"
"205.80371","504.29742","0.70080006","0.6451613","680"
"209.20674","510.45892","0.7296","0.61290324","696"
"221.31886","521.38403","0.73440003","0.6451613","713"
"230.57593","527.7629","0.744","0.61290324","730"
"272.35913","551.39624","0.74880004","0.61290324","746"
"322.86664","579.36816","0.74880004","0.61290324","763"
"364.61697","601.113","0.73920006","0.61290324","780"
"418.65506","628.10925","0.72","0.61290324","797"
"464.0655","649.1922","0.68160003","0.61290324","813"
"506.70624","668.43616","0.6384","0.61290324","830"
"545.6786","687.14294","0.6144","0.6451613","845"
"568.63544","699.38654","0.5856","0.61290324","864"
"609.7205","718.1557","0.47040004","0.61290324","880"
"642.2395","735.9502","0.40320003","0.61290324","897"
"688.5357","751.00006","0.216","0.48387095","913"
