"ChallengeX","ChallengeY","Tester Name","Device Name"
"461.0","576.0","lyle","nexus-79"
"516.0","278.0","lyle","nexus-79"
"191.0","503.0","lyle","nexus-79"
"627.0","704.0","lyle","nexus-79"
"X","Y","PRESSURE","SIZE","TIME"
"506.39282","570.5714","0.46080002","0.41935483","0"
"498.35712","559.6786","0.79200006","0.61290324","66"
"498.35712","552.9977","0.82080007","0.61290324","81"
"499.0218","549.162","0.83040005","0.61290324","95"
"500.5423","541.3156","0.8352","0.61290324","109"
"502.674","528.5634","0.82080007","0.61290324","120"
"506.39282","505.21735","0.8112","0.61290324","136"
"507.92035","489.412","0.80640006","0.61290324","153"
"509.90674","470.09198","0.78720003","0.61290324","170"
"513.9603","446.4112","0.77760005","0.61290324","187"
"519.2496","425.2016","0.76320004","0.6451613","203"
"524.3603","405.57642","0.74880004","0.6451613","220"
"527.54034","393.8465","0.74880004","0.61290324","237"
"533.9172","373.1637","0.74880004","0.6451613","254"
"538.01953","352.15393","0.76320004","0.7096774","270"
"540.138","337.97998","0.768","0.6451613","287"
"541.9802","326.89478","0.76320004","0.61290324","304"
"543.77277","317.43347","0.76320004","0.6451613","320"
"545.50073","307.59595","0.76320004","0.7096774","337"
"547.2247","299.1501","0.768","0.7419355","354"
"547.4643","294.14288","0.78720003","0.7419355","370"
"547.4643","291.61542","0.80160004","0.7741935","387"
"546.6185","289.47382","0.83040005","0.83870965","404"
"543.44037","290.50287","0.78720003","0.7741935","421"
"536.92505","296.11768","0.75360006","0.7096774","438"
"520.48267","311.0265","0.72480005","0.61290324","454"
"502.59937","327.16144","0.72480005","0.61290324","471"
"478.85675","346.9912","0.73440003","0.6451613","488"
"461.3036","359.71423","0.744","0.6451613","501"
"446.80502","371.19202","0.7584","0.61290324","521"
"408.5587","395.64508","0.75360006","0.6451613","538"
"379.44623","416.75214","0.73920006","0.61290324","555"
"359.36694","430.88458","0.77760005","0.61290324","571"
"340.36606","446.4026","0.7824","0.6451613","588"
"315.71902","466.73743","0.77760005","0.6451613","605"
"298.197","481.58228","0.7824","0.61290324","622"
"288.64944","489.89075","0.78720003","0.61290324","638"
"284.39297","492.5542","0.80160004","0.61290324","655"
"275.8698","498.69086","0.8112","0.6774193","672"
"267.37643","506.88434","0.80640006","0.6774193","689"
"260.69153","513.3019","0.7968","0.7096774","705"
"255.8823","518.16376","0.7968","0.7419355","722"
"251.46875","523.0129","0.7968","0.7419355","739"
"248.2265","527.10803","0.8112","0.7419355","755"
"245.97397","528.28784","0.8112","0.7419355","772"
"244.202","529.98895","0.8256","0.7419355","789"
"242.168","531.9416","0.8352","0.7419355","806"
"239.98636","534.03595","0.8352","0.7419355","822"
"238.5357","536.1069","0.83040005","0.7419355","839"
"237.64285","538.23456","0.84000003","0.7419355","856"
"237.64285","540.30365","0.84000003","0.7419355","873"
"237.64285","542.3521","0.84480006","0.6774193","889"
"237.64285","543.23834","0.84480006","0.6451613","906"
"240.44788","547.55","0.8256","0.61290324","923"
"246.47974","552.50543","0.84000003","0.61290324","939"
"262.31955","562.6047","0.84000003","0.6774193","956"
"288.50754","577.26996","0.80640006","0.6774193","973"
"320.48804","594.1143","0.81600004","0.61290324","990"
"348.79938","607.4881","0.84000003","0.61290324","1006"
"385.85712","622.0","0.8352","0.61290324","1022"
"399.11792","628.79865","0.8256","0.6451613","1040"
"446.37756","646.5731","0.8112","0.61290324","1057"
"493.81134","661.97394","0.82080007","0.61290324","1073"
"528.5193","673.0649","0.80640006","0.61290324","1090"
"560.0084","685.4467","0.78720003","0.6774193","1107"
"594.8775","701.32983","0.76320004","0.61290324","1123"
"622.46906","712.85944","0.7728","0.61290324","1140"
"637.0104","719.83923","0.768","0.61290324","1157"
"663.4839","733.002","0.7296","0.61290324","1174"
"702.2429","752.00806","0.70080006","0.61290324","1190"
"728.4659","759.33966","0.47040004","0.54838705","1207"
