"ChallengeX","ChallengeY","Tester Name","Device Name"
"252.0","143.0","Jake ","nexus-03"
"216.0","275.0","Jake ","nexus-03"
"152.0","171.0","Jake ","nexus-03"
"457.0","894.0","Jake ","nexus-03"
"X","Y","PRESSURE"
"260.25","151.06061","0.120000005"
"254.04633","160.27869","0.4512"
"250.38425","166.89337","0.5088"
"245.0994","174.53781","0.528"
"238.1726","186.57193","0.5424"
"230.77484","201.99432","0.5424"
"226.50388","215.08847","0.5472"
"224.04129","226.90103","0.55200005"
"220.68681","238.27472","0.5472"
"218.0786","246.61206","0.55200005"
"216.5","251.06061","0.5568"
"214.43297","255.3335","0.5616"
"212.82828","258.18152","0.5712"
"210.13293","259.0075","0.5712"
"208.34227","255.8562","0.57600003"
"204.39223","245.43988","0.57600003"
"196.58797","227.41177","0.58080006"
"187.87952","210.05783","0.59040004"
"181.93475","200.70483","0.5952"
"176.85825","192.42612","0.61920005"
"174.3125","188.33331","0.624"
"170.98215","184.88226","0.62880003"
"168.08629","182.2958","0.6384"
"169.0","190.48566","0.63360006"
"175.71492","213.7555","0.62880003"
"190.47879","261.77115","0.6"
"204.39087","310.22815","0.58080006"
"217.30751","360.61615","0.5616"
"231.077","405.64935","0.55200005"
"236.8125","425.0","0.5616"
"239.85217","434.8344","0.5616"
"263.41864","491.57117","0.5616"
"292.0995","550.4839","0.5712"
"315.29623","587.83466","0.58080006"
"331.8555","611.2026","0.5856"
"351.9663","636.5209","0.6"
"371.1141","663.92084","0.6"
"398.15167","707.80383","0.5952"
"414.1339","734.9834","0.59040004"
"427.24164","759.1103","0.5856"
"443.7152","787.7537","0.58080006"
"467.21298","830.27875","0.57600003"
"480.53094","856.8387","0.5568"
"488.66486","874.047","0.3456"
"497.125","889.8485","0.20160002"
