"ChallengeX","ChallengeY","Tester Name","Device Name"
"253.0","779.0","Ryan","nexus-06"
"553.0","161.0","Ryan","nexus-06"
"643.0","787.0","Ryan","nexus-06"
"218.0","409.0","Ryan","nexus-06"
"635.0","517.0","Ryan","nexus-06"
"634.0","686.0","Ryan","nexus-06"
"209.0","893.0","Ryan","nexus-06"
"X","Y","PRESSURE"
"250.875","786.21216","0.13440001"
"261.57236","764.2536","0.432"
"274.14612","736.5917","0.45600003"
"286.1324","710.5387","0.4848"
"300.3511","682.3797","0.49920002"
"322.90466","639.85156","0.51360005"
"338.41916","610.991","0.51360005"
"362.24902","567.3734","0.51360005"
"385.3944","526.84546","0.51360005"
"407.77905","487.23633","0.51360005"
"422.25357","461.13922","0.51360005"
"447.5729","419.83545","0.5184"
"470.2908","380.20203","0.504"
"484.99643","355.87198","0.48960003"
"508.01654","313.34006","0.4848"
"520.18805","290.3489","0.47520003"
"532.1399","265.22488","0.48000002"
"543.7551","241.4873","0.4848"
"553.6973","220.6604","0.49920002"
"558.00256","210.57086","0.49920002"
"561.44604","203.89255","0.49920002"
"564.9018","198.08801","0.5088"
"567.605","196.74887","0.5952"
"570.69977","202.75702","0.5424"
"576.8314","221.82916","0.48000002"
"584.26196","260.93875","0.44640002"
"586.8987","289.2264","0.42240003"
"587.7785","319.74155","0.40800002"
"588.375","368.72223","0.3984"
"589.14526","400.07275","0.39360002"
"589.8801","439.32513","0.38880002"
"595.72076","488.6474","0.3792"
"597.8413","518.40515","0.3792"
"601.86365","559.7881","0.37440002"
"605.5173","597.5477","0.36"
"608.0856","625.5044","0.35040003"
"612.2554","654.79266","0.35040003"
"616.95465","681.4743","0.3456"
"622.1309","709.269","0.35040003"
"627.32007","732.0064","0.3456"
"631.7806","747.0283","0.3456"
"634.24915","756.1464","0.36"
"634.9375","760.15155","0.37440002"
"634.625","765.27356","0.4128"
"634.625","769.0938","0.4656"
"624.1625","765.5794","0.5424"
"601.79175","748.6788","0.5328"
"578.24646","729.09375","0.5328"
"553.49054","711.244","0.53760004"
"522.68286","688.7967","0.5424"
"488.66605","661.5345","0.5424"
"467.69666","648.4238","0.528"
"441.19806","629.4876","0.53760004"
"403.64035","599.5379","0.5472"
"379.60483","579.9969","0.5424"
"345.6191","551.952","0.5424"
"323.49533","536.3217","0.5424"
"286.21597","505.05518","0.5472"
"267.2089","488.11163","0.5472"
"246.92874","469.96783","0.53760004"
"229.52594","452.0086","0.5328"
"218.67206","440.39984","0.5328"
"211.95181","434.52905","0.5328"
"207.87212","430.573","0.5328"
"204.78911","427.58337","0.528"
"202.61772","425.47778","0.528"
"214.0","425.30298","0.56640005"
"249.74713","431.8604","0.5472"
"307.2479","445.1405","0.5328"
"339.2431","451.1953","0.5184"
"370.47366","456.04626","0.51360005"
"418.66315","465.02435","0.5088"
"451.21133","471.7392","0.49920002"
"497.5987","483.59363","0.49440002"
"541.4727","493.81213","0.48960003"
"568.1073","501.47913","0.48000002"
"592.153","509.9489","0.47520003"
"610.05786","516.8682","0.4848"
"623.7516","523.9871","0.49920002"
"630.3754","528.24884","0.5088"
"634.4629","532.61255","0.51360005"
"637.50183","536.97864","0.52320004"
"639.9195","542.0776","0.504"
"641.5174","548.1317","0.4848"
"642.6339","555.7272","0.47040004"
"643.7493","563.66144","0.432"
"644.8675","577.4824","0.4128"
"645.9855","598.7649","0.39360002"
"647.1245","615.2945","0.384"
"648.2645","639.6127","0.36960003"
"649.382","659.8829","0.36960003"
"649.625","671.43066","0.37440002"
"649.625","680.4568","0.36960003"
"648.3329","691.50977","0.384"
"644.224","704.95435","0.39360002"
"639.75916","712.98676","0.42720002"
"633.7724","718.5776","0.46080002"
"625.1489","724.0007","0.47040004"
"601.8674","735.4279","0.4848"
"572.91254","747.4103","0.49920002"
"543.548","757.6203","0.5184"
"508.1364","770.7979","0.5328"
"463.13113","790.2093","0.5328"
"439.17664","801.278","0.5328"
"408.9891","815.98517","0.52320004"
"369.52554","833.64465","0.5184"
"346.79376","844.30725","0.51360005"
"323.323","857.1783","0.51360005"
"299.41934","869.34216","0.5184"
"277.29852","879.7644","0.5184"
"254.513","890.5089","0.52320004"
"239.32574","899.53687","0.52320004"
"230.70552","904.87537","0.5328"
"225.875","907.12134","0.528"
"221.86621","910.2875","0.51360005"
